"'Allowance' column title","titolo della colonna 'Allowance'"
"Default: 1<br />Eg. kg -> lb = 2.2046; lb -> kg = 0.4536","Predefinito: 1 <br /> Eg. kg -> lb = 2,2046; lb -> kg = 0.4536"
"Default: 1<br />Eg. your base currency is USD, your manifest display currency is GBP : enter the exchange rate multiplier for USD -> GBP","Predefinito: 1 <br /> Eg. la valuta base è USD, la valuta di visualizzazione manifesto è GBP: inserire il moltiplicatore tasso di cambio per USD -> GBP"
"Default: 100","Default: 100"
"Default: 13pt/5pt (top/bottom), 5pt (left/right)","Predefinito: 13pt / 5pt (alto / basso), 5pt (sinistra / destra)"
"Default: 17","Predefinito: 17"
"Default: 185","Default: 185"
"Default: 2 [1.1256 becomes 1.13]","Predefinita: 2 [1,1256 diventa 1.13]"
"Default: 2<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","Default: 2 <br /> Eg. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21.67; @ -1 = 20"
"Default: 200","Default: 200"
"Default: 22pt (top/bottom), 30pt (left/right)","Predefinito: 22pt (alto / basso), 30pt (sinistra / destra)"
"Default: 25","Predefinito: 25"
"Default: 25 -->","Predefinito: 25 ->"
"Default: 25, 25 (can leave one blank)","Predefinito: 25, 25 (può lasciare uno spazio vuoto)"
"Default: 250","Default: 250"
"Default: 250, 100. Need to select [Yes] on "Show order gift message" or "Show product gift message".","Predefinito: 250, 100. necessità di selezionare [Sì] "messaggio Visualizzare regalo ordine" o "messaggio Gift Show prodotto"."
"Default: 250, 100. Need to select yes on "Show order gift message" or "Show product gift message"","Predefinito: 250, 100. necessario selezionare sì sul "messaggio Visualizzare regalo ordine" o "Mostra il messaggio prodotto regalo""
"Default: 250x182","Predefinito: 250x182"
"Default: 3","Default: 3"
"Default: 350","Default: 350"
"Default: 380","Default: 380"
"Default: 40","Predefinito: 40"
"Default: 400","Default: 400"
"Default: 420","Default: 420"
"Default: 450","Default: 450"
"Default: 460","Default: 460"
"Default: 475","Default: 475"
"Default: 480","Default: 480"
"Default: 50","Predefinito: 50"
"Default: 500","Default: 500"
"Default: 520","Default: 520"
"Default: 5pt (top/bottom), 5pt (left/right)","Predefinito: 5pt (alto / basso), 5pt (sinistra / destra)"
"Default: 5pt/5pt (top/bottom), 5pt/5pt (left/right)","Predefinito: 5pt / 5pt (alto / basso), 5pt / 5pt (sinistra / destra)"
"Default: 67","Predefinito: 67"
"Default: 8","Predefinito: 8"
"Default: 80","Predefinito: 80"
"Default: backordered","Predefinito: ordine arretrato"
"Default: Bold","Predefinito: Bold"
"Default: center","Predefinito: Centro"
"Default: Code128","Predefinito: Code128"
"Default: codes","Default: codici"
"Default: Empty","Impostazione predefinita: vuoto"
"Default: Grand Total","Predefinito: Totale generale"
"Default: ID","Predefinito: ID"
"Default: ID -->","Predefinito: ID ->"
"Default: invoice_","Predefinito: invoice_"
"Default: invoice+packing-sheet_","Predefinito: fattura + imballaggio-sheet_"
"Default: items","Default: articoli"
"Default: Left (if right, turn off barcodes, addresses; if full-width no company","Predefinito: Sinistra (se a destra, spegnere i codici a barre, gli indirizzi, se tutta larghezza nessuna azienda"
"Default: M j, Y . Format this according to www.php.net/date","Predefinito: M j, Y. Formattare questo secondo il www.php.net/date"
"Default: Method B","Predefinito: Metodo B"
"Default: name","Predefinito: nome"
"Default: order-combined_","Predefinito: ordine-combined_"
"Default: order-separated_","Predefinito: ordine-separated_"
"Default: out-of-stock-list_","Predefinito: out-of-magazzino-List_"
"Default: packing-sheet_","Predefinito: imballaggio-sheet_"
"Default: Phone","Predefinito: Telefono"
"Default: Phone -->","Predefinito: Telefono ->"
"Default: product-separated_","Predefinito: product-separated_"
"Default: pt (top/bottom), pt (left/right)","Predefinito: pt (alto / basso), pt (sinistra / destra)"
"Default: Qty","Predefinito: Quantità"
"Default: Qty -->","Predefinito: Quantità ->"
"Default: Ship to:","Predefinito: Ship to:"
"Default: Shipping","Predefinito: Spedizione"
"Default: Simple product name","Predefinito: semplice nome del prodotto"
"Default: Source","Predefinito: Fonte"
"Default: Subtotal","Predefinito: Totale parziale"
"Default: tax","Predefinito: imposta"
"Default: total","Predefinito: totale"
"Default: USD","Predefinito: USD"
"Default: VAT Rateable","Predefinito: l'IVA imponibile"
"Default: warehouse","Predefinito: magazzino"
"Default: Y_m_d . Format this according to www.php.net/date","Predefinito: Y_m_d. Formattare questo secondo il www.php.net/date"
"Default: Zero-rated","Predefinito: Zero-rated"
"Default:7","Predefinita: 7"
"Default: No","Default: No"
"Default: Yes","Predefinito: Sì"
"Depends on your stock management system","Dipende dal sistema di gestione delle scorte"
"Descending","Discendente"
"Detailed CC info?","Dettagliate informazioni CC?"
"Dimensions","Dimensioni"
"Dimensions : 'Label width' x 'Label height' @ 300dpi : non-interlaced and non-transparent .png","Dimensioni: 'width Etichetta' x 'Altezza etichetta' @ 300dpi: non interlacciata e non trasparente .png"
"Dimensions 180<b style="color:red;">pt</b> x 120<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Dimensioni 180 <b style = "color: red;"> pt </ b> x 120 <b style = "color: red;"> pt </ b> @ 300dpi: non interlacciato <b> e </ b> .png non trasparente"
"Dimensions 540<b style="color:red;">pt</b>(A4)|562<b style="color:red;">pt</b>(US Letter) x 1-200<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Dimensioni 540 <b style = "color: red;"> pt </ b> (A4) | ​​562 <b style = "color: red;"> pt </ b> (US Letter) x 1-200 <b style = "color: red;"> pt </ b> @ 300dpi: non interlacciato <b> e </ b> .png non trasparente"
"Dispatch Date?","Data di spedizione?"
"Don't count these custom option SKUs :","Non contare queste opzioni personalizzate SKU:"
"Double-line spacing?","interlinea doppia linea?"
"Double-up this barcode?","Doppio-up questo codice a barre?"
"Drink Flag","bere Flag"
"E: ","E:"
"Eg. nudge it up off integrated labels","Per esempio. nudge in su etichette fuori integrati"
"eg. put 'wholesale', then only wholesale customers will see 'Message B'","per esempio. mettere 'all'ingrosso', allora solo i clienti all'ingrosso vedranno 'Messaggio B'"
"eg. put your country, then only overseas orders will have country added","per esempio. mettere il vostro paese, allora solo gli ordini esteri avranno Paese Data"
"Eg. shelving info","Per esempio. informazioni scaffalature"
"Email: Body","E-mail: Corpo"
"Email: Send To","E-mail: Invia a"
"Email: Sender","E-mail: Mittente"
"Email: Subject","Oggetto dell'email"
"Enable auto processing?","Abilitare l'elaborazione automatica?"
"Enter your license key here","Inserisci il codice di licenza qui"
"Exactly position shipping detail (eg. for envelope window)","Esattamente il trasporto posizione di dettaglio (ad es. Per la finestra della busta)"
"Exactly position top address (eg. for envelope window)","Esattamente posizione di indirizzo superiore (ad es. Per la finestra della busta)"
"Export","Esportare"
"Export: Path","Export: Path"
"Extra attribute position","Posizione attributo Extra"
"F: ","F:"
"File Path","Percorso del file"
"Fill Bars?","Riempire Bar?"
"Fill bkg comments box ?","Riempire casella dei commenti BKG?"
"Fill columns titlebar?","Riempire colonne barra del titolo?"
"Filter again?","Filtro di nuovo?"
"Filter by supplier?","Filtra per fornitore?"
"Filter items again?","Filtrare gli elementi di nuovo?"
"Filter items by status?","Filtrare gli elementi in base allo stato?"
"Filter items?","articoli filtro?"
"Filter order notes?","note ordine del filtro?"
"Filter out some options?","Filtrare alcune opzioni?"
"Filter out some?","Filtrare un po '?"
"Filter out these attributes","Filtrare questi attributi"
"Filter out these custom option SKUs :","Filtrare questi SKU opzione Personalizzata:"
"Filter shipped items?","Filtro spedito articoli?"
"Filter text","testo del filtro"
"Filter text (don't show notes containg this text)","Filtro di testo (non mostrano note containg questo testo)"
"Filter?","Filtro?"
"Filter/Split which PDFs?","Filtro / Split che i PDF?"
"Filters: Order-separated PDFs, Order-combined PDFs","Filtri: Ordine separati da file PDF, PDF ordine combinate"
"First Name","Nome"
"First order starts at","Primo ordine inizia alle"
"Fix Subtotals to page base","Fissare subtotali a base pagina"
"Flat-address font size","Flat-indirizzo dimensione del carattere"
"Font","Carattere"
"Font size","Dimensione del font"
"Font size (Product Lines)","Dimensione dei caratteri (Product Lines)"
"Font size (Return address)","Dimensione dei caratteri (indirizzo di ritorno)"
"Font size (Shipping address)","Dimensione dei caratteri (Indirizzo di spedizione)"
"For all customer group types","Per tutti i tipi di gruppi di clienti"
"For any customer group containing filter word","Per qualsiasi parola filtri Gruppo di clienti che contiene"
"For configurable products, show:","Per i prodotti configurabili, spettacolo:"
"For custom minimum stock levels for specific SKUs, set like this:","Per i livelli di scorta minima personalizzati per SKU specifici, definiti in questo modo:"
"For full-page sharp backgrounds, upload images with dimensions  595<b style="color:red;">pt</b> x 842<b style="color:red;">pt</b> (A4), or 612<b style="color:red;">pt</b> x 792<b style="color:red;">pt</b> (Letter)","Per tutta pagina sfondi nitide, caricare immagini con dimensioni 595 <b style = "color: red;"> pt </ b> x 842 <b style = "color: red;"> pt </ b> (A4), o 612 <b style = "color: red;"> pt </ b> x 792 <b style = "color: red;"> pt </ b> (Lettera)"
"For Internal Print Flags use "0" to avoid duplicate printing","Per Bandiere di stampa interni usare "0" per evitare la stampa duplicato"
"Force gift message font?","regalo Forza carattere messaggio?"
"Format product options?","opzioni di prodotto formato?"
"Format product?","prodotto Format?"
"FTP host","host FTP"
"FTP password","password FTP"
"FTP port","porta FTP"
"FTP remote path","percorso remoto FTP"
"FTP user","utente FTP"
"Full height of each label (default 168pt)","altezza completa di ogni etichetta (168pt default)"
"Full height of each label (default 432pt)","altezza completa di ogni etichetta (432pt default)"
"Full Page Width","Larghezza pagina completa"
"Full width of each label (default 190pt)","larghezza di ogni etichetta (190pt default)"
"Full width of each label (default 288pt)","larghezza di ogni etichetta (288pt default)"
"Gallery Images (Max 2)","Galleria Immagini (max 2)"
"General : CSV","Generale: CSV"
"General : PDF","Generale: PDF"
"General Options","Opzioni generali"
"Germany CN22 Label Image","Germania CN22 Label Immagine"
"Gift card","Carta regalo"
"Gift message","messaggio regalo"
"Gift Message : Background Color","Regalo Messaggio: colore di sfondo"
"Gift Message : Color","Regalo Messaggio: Colore"
"Gift Message : Font","Regalo Messaggio: Font"
"Gift Message : Size","Regalo Messaggio: Dimensioni"
"Gift Message : Style","Regalo Messaggio: Style"
"Gift wrap","pacco regalo"
"Goes at page base - good for integrated labels","Va alla base pagina - buono per etichette integrate"
"Goes at page base - handy for QC","Va alla base pagina - a portata di mano per QC"
"Goes on the right of the header logo","Va a destra del logo header"
"Goes on the top-left of the page","Va in alto a sinistra della pagina"
"Good for 3-part integrated labels, eg. for peel-off address records","Buon per 3-part etichette integrate, ad es. per i record di indirizzo peel-off"
"Good for a footer image","Buon per un'immagine un piè di pagina"
"Good for integrated labels","Buon per etichette integrate"
"Good for tax numbers, return instructions","Buon per i numeri fiscali, istruzioni per la restituzione"
"Good for things like tear-off labels, or adding to the return address abel to make it a 'Returns Label'","Buon per cose come le etichette a strappo, o aggiungendo l'indirizzo di ritorno abel per renderlo un 'Returns Etichetta'"
"Grand Total (from Magento)?","Totale generale (da Magento)?"
"Grey out products from other suppliers","Grigio fuori prodotti di altri fornitori"
"Group by Category?","Gruppo per categoria?"
"Group With Other Prints","Gruppo con altre stampe"
"Header logo","header logo"
"Hide if gift order?","Hide se l'ordine del regalo?"
"Hide prices if a gift order?","Nascondere i prezzi Se un ordine di regalo?"
"Hide product option labels?","etichette di opzione del prodotto nascondere?"
"Hide products from other suppliers","Nascondi prodotti di altri fornitori"
"Hide Shipping Method for Store-Pickup orders?","Hide metodo di spedizione per gli ordini al supermercato Pick-up?"
"Hide supplier attribute column?","Nascondi fornitore attributo di colonna?"
"Hide these groups :","Nascondere questi gruppi:"
"Hide this 'country name'","Nascondi questo 'nome del paese'"
"Hide this 'country name' :","Nascondi questo 'nome del paese':"
"Hide this' country name' :","Nascondi questo 'nome del paese':"
"Hide Virtual and Downloadable products from PDFs?","Nascondere i prodotti virtuali e scaricabili dal file PDF?"
"Hide zero discount value?","Hide valore di sconto pari a zero?"
"Hide zero shipping value?","Nascondere il valore di spedizione pari a zero?"
"Hide zero tax value?","Hide imposta sul valore pari a zero?"
"High-res","Alta risoluzione"
"high-res/low-res?","high-res / low-res?"
"High/Low Resolution?","Alta / Bassa risoluzione?"
"Hold?","Tenere?"
"Holland CN22 Label Image","Olanda CN22 Label Immagine"
"Horizontal bars : Background Color","barre orizzontali: il colore di sfondo"
"Ie. if you want them listed together and not in separate columns","Vale a dire. se si desidera che li elencati insieme e non in colonne separate"
"If 'Yes' this won't include items which have been marked as shipped.","Se 'Sì' questo non include elementi che sono stati contrassegnati come spedito."
"If child image missing, show parent?","Se l'immagine bambino scomparso, mostrare genitore?"
"If set to Yes, after an order has been printed, you can only re-print it from inside the Order Detail page.<br />The aim is to avoid shipping the same order multiple times by mistake.","Se impostato su Sì, dopo che un ordine è stato stampato, si può solo ri-stampare dall'interno pagina Dettagli ordine. <br /> L'obiettivo è di evitare la spedizione dello stesso ordine più volte per errore."
"If supplier 'logged in', do what with other suppliers products?","Se il fornitore 'loggato', fare quello che con altri prodotti fornitori?"
"If you get long addresses that spill over the edge of your label, set this number to force a linebreak","Se si ottiene indirizzi lunghi che si rovesciano oltre il bordo della vostra etichetta, impostare questo numero per forzare un'interruzione di riga"
"If you ship a lot of single items, this can help alert your shipping staff that","Se spedite un sacco di oggetti singoli, questo può aiutare avvertire il personale di spedizione che"
"If you ship a lot of single items, this can help alert your shipping staff that there's more than one!","Se spedite un sacco di oggetti singoli, questo può aiutare avvertire il personale di spedizione che non c'è più di uno!"
"If you're using shipEasy, and have setup any of the 3 custom flag columns, you can show the value.","Se stai usando shipEasy, ed hanno messa a punto una delle colonne di bandiera 3 personalizzate, è possibile mostrare il valore."
"Image behind return address?","Immagine dietro indirizzo di ritorno?"
"Image behind ship address?","Immagine dietro l'indirizzo della nave?"
"Image border color","Il colore dell'immagine bordo"
"Image file","File immagine"
"Image nudge","immagine gomitata"
"Image position nudge","Posizione dell'immagine gomitata"
"Images column title","Immagini titolo della colonna"
"Import","Importare"
"In positionable box (handy for tear-off labels)","Nella scatola posizionabile (utile per etichette a strappo)"
"Incl.","Incl."
"Include customer phone in addresses?","Includi telefono cliente negli indirizzi?"
"Include discount?","Includi sconto?"
"Include discounts in product line price","Include sconti del prezzo del prodotto linea"
"Include Order ID in filename for single page print?","Includere ID ordine nel nome del file per la stampa singola pagina?"
"Include Order ID in filename for single page prints?","Includere ID ordine nel nome del file per la stampa a pagina singola?"
"Include order notes?","Includere note dell'ordine?"
"Include shipping country in addresses?","Includi trasporto del paese negli indirizzi?"
"Include tax in 'Shipping'?","Includere le tasse in 'Spedizione'?"
"Include Tax in Price?","Includere le tasse nel prezzo?"
"Include Tax in Shipping Price?","Includere le tasse nel trasporto Prezzo?"
"Include tax in value?","Comprendono le tasse di valore?"
"Include tax?","Comprendono le tasse?"
"Installation Server","Installazione del server"
"Invert some of the title colors...","Invertire alcuni dei colori del titolo ..."
"Invoice Address","Indirizzo di fatturazione"
"Invoice Date","Data di fatturazione"
"Invoice ID?","ID fattura?"
"Invoice Number","Numero di fattura"
"Invoice Options","Opzioni fattura"
"Invoiced Date","fatturato Data"
"Is this included in the Subtotal?","E 'questo incluso nel subtotale?"
"Italic","Corsivo"
"Item Count","Conte Articolo"
"Items column title","Articoli titolo della colonna"
"Items count?","contano articoli?"
"Label","Etichetta"
"Label height","altezza etichetta"
"Label margins","margini Label"
"Label Nudge","Nudge Label"
"Label padding","imbottitura Label"
"Label width","larghezza etichetta"
"Layout template","modello di layout"
"License","Licenza"
"License Key","Chiave di licenza"
"Line above fixed footer image?","Linea immagine piè di pagina fissa di cui sopra?"
"Line widths","larghezza delle linee"
"Lock image to page base?","Blocco immagine alla base pagina?"
"Logo position","posizione logo"
"Low-res","Bassa risoluzione"
"Magento Order ID","Magento ID ordine"
"Main Image","Immagine principale"
"Makes gift orders a bit happier-looking by adding a special image on the message box.","Rende gli ordini regalo un po 'più felice-looking con l'aggiunta di una speciale immagine nella finestra di messaggio."
"Manual description 1","Descrizione Manuale 1"
"Margin (from right)","Margine (da destra)"
"Margin (from right) for flat-address","Margine (da destra) per flat-indirizzo"
"Marketplace Order ID","Il mercato ID ordine"
"Match shipping description :","Match Descrizione spedizione:"
"Match text:","text partita:"
"Max address width (pt)","Larghezza indirizzo Max (pt)"
"Max dimensions","dimensioni massime"
"Max weight per box","Peso massimo per scatola"
"Max width","larghezza massima"
"Messages","messaggi"
"Middle of page","Centro della pagina"
"Min. weight to hide shipment method and put 'Pallet'","Min. peso per nascondere modalità di spedizione e mettere 'pallet'"
"Minimum stock qty","Minimo Qtà"
"Moogento","Moogento"
"Moogento pickPack","Moogento pickPack"
"Moogento pickPack : CSV (Order-combined Products)","Moogento pickPack: CSV (Ordina-combinato)"
"Moogento pickPack : CSV (Order-separated Products)","Moogento pickPack: CSV (ordine separato Prodotti)"
"Moogento pickPack : CSV (Orders)","Moogento pickPack: CSV (ordini)"
"Moogento pickPack : CSV/XML (Cargo Manifest)","Moogento pickPack: CSV / XML (manifesto di carico)"
"Moogento pickPack : PDF (Address Labels)","Moogento pickPack: PDF (Etichette per indirizzo)"
"Moogento pickPack : PDF (CN22 Labels)","Moogento pickPack: PDF (CN22 etichette)"
"Moogento pickPack : PDF (Gift Message)","Moogento pickPack: PDF (Gift Message)"
"Moogento pickPack : PDF (Invoice and Packing Sheet)","Moogento pickPack: PDF (fattura e sulla scheda di imballaggio)"
"Moogento pickPack : PDF (Invoice)","Moogento pickPack: PDF (fattura)"
"Moogento pickPack : PDF (Order-combined Picklist)","Moogento pickPack: PDF (ordine combinato Picklist)"
"Moogento pickPack : PDF (Order-separated Picklist)","Moogento pickPack: PDF (ordine separato Picklist)"
"Moogento pickPack : PDF (Orders Summary)","Moogento pickPack: PDF (Ordini Sommario)"
"Moogento pickPack : PDF (Packing Sheet)","Moogento pickPack: PDF (Imballaggio Scheda)"
"Moogento pickPack : PDF (Product-separated Picklist)","Moogento pickPack: PDF (prodotto separato da Picklist)"
"Moogento pickPack : PDF (Troylleybox Picklist)","Moogento pickPack: PDF (Troylleybox Picklist)"
"Moogento pickPack : PDF (Zebra Labels)","Moogento pickPack: PDF (Zebra Etichette)"
"Moogento pickPack : PDF/CSV (Out-of-stock List)","Moogento pickPack: PDF / CSV (Out-of-magazzino List)"
"Multiplier Attribute","Attributo Moltiplicatore"
"Multiplies product price by set multiplication factor. Eg. use to show product price limit for substitutions in pick","Moltiplica prezzo del prodotto per il fattore di moltiplicazione set. Per esempio. usare per mostrare limite di prezzo del prodotto per le sostituzioni in pick"
"Multiplies product price by set multiplication factor.<br />Eg. use to show product price limit for substitutions in pick","Moltiplica prezzo del prodotto per il fattore di moltiplicazione set. <br /> Esempio. usare per mostrare limite di prezzo del prodotto per le sostituzioni in pick"
"Multiply prices by attribute?","Moltiplicare i prezzi per attributo?"
"Name from Order","Nome da Order"
"Name from Product > Default Store","Nome dal prodotto> archivio predefinito"
"Name from Product > Order Store *Default*","Nome dal prodotto> Ordine Conservare * Predefinito *"
"Name from Product > Specific Store","Nome dal prodotto> negozio specifico"
"New page per order?","Nuova pagina per ordine?"
"New PDF per name?","Nuovo PDF per nome?"
"No","No"
"No (default)","No (impostazione predefinita)"
"No of Items per page","No di elementi per pagina"
"No, include all items in order","No, comprendere tutti gli articoli in ordine"
"No, include it in the product price","No, includerlo nel prezzo del prodotto"
"No, include it in the product price (but also show a tax subtotal summary)","No, lo includono nel prezzo del prodotto (ma mostrano anche una sintesi subtotale fiscale)"
"No, move other items to new line (+ keep linebreaks)","No, spostare altri oggetti per la nuova linea (+ mantenere linebreaks)"
"No, without Tax","No, senza imposta"
"None","Nessuna"
"Normal' Dimensions:  269<b style="color:red;">pt</b> x 41<b style="color:red;">pt</b> @ 300dpi<br />","Normali "Dimensioni: 269 <b style =" color: red; "> pt </ b> x 41 <b style =" color: red; "> pt </ b> @ 300dpi <br />"
"Not recommended... Use at your own risk...","Non consigliato ... Utilizzare a proprio rischio e pericolo ..."
"Nudge","gomitata"
"Nudge 'Packed 2 by' note","Nudge 'imballato 2 da' nota"
"Nudge 'Packed by' text","Nudge 'Imballato dal' testo"
"Nudge <b>autoCN22</b> label","Nudge <b> autoCN22 </ b> etichetta"
"Nudge 2nd address","Nudge 2 ° indirizzo"
"Nudge 2nd barcode","Nudge 2 ° del codice a barre"
"Nudge 2nd custom title","Nudge 2 ° titolo personalizzato"
"Nudge 2nd image","Spingi 2 ° immagine"
"Nudge address","indirizzo Nudge"
"Nudge background image","immagine di sfondo Nudge"
"Nudge barcode","nudge codice a barre"
"Nudge CN22 label","Nudge CN22 etichetta"
"Nudge company address","ditta Nudge"
"Nudge details","nudge dettagli"
"Nudge entire label","Nudge intera etichetta"
"Nudge fixed image","Spingi un'immagine fissa"
"Nudge flat-address","Nudge flat-indirizzo"
"Nudge gift message","messaggio regalo Nudge"
"Nudge image","immagine Nudge"
"Nudge label image","immagine label Nudge"
"Nudge logo","logo Nudge"
"Nudge Order ID","Nudge ID ordine"
"Nudge Order ID barcode","Nudge ID ordine di codici a barre"
"Nudge order notes","Nudge note dell'ordine"
"Nudge product line","Nudge linea di prodotti"
"Nudge qr-code (1)","Nudge QR-Code (1)"
"Nudge qr-code (2)","Nudge QR-Code (2)"
"Nudge return address","indirizzo di ritorno Nudge"
"Nudge return label","etichetta di ritorno Nudge"
"Nudge Rotated Product List","Nudge Lista ruotato prodotto"
"Nudge shelving","nudge scaffalature"
"Nudge shipping address","Nudge indirizzo di spedizione"
"Nudge shipping address only","Nudge solo indirizzo di spedizione"
"Nudge supplier attribute","attributo fornitore Nudge"
"Nudge title","nudge titolo"
"Nudge tracking barcode","Nudge codice a barre di monitoraggio"
"Nudge tracking number","Nudge numero di inseguimento"
"Nudge Zipcode barcode","Nudge CAP codice a barre"
"Nudge' Packed by' note","Nudge 'Imballato dal' nota"
"Number product list?","Numero lista dei prodotti?"
"Only print once?","Solo una volta la stampa?"
"Only process orders matching shipEasy attribute?","Solo gli ordini processo di corrispondenza attributo shipEasy?"
"Operand?","Operando?"
"Order Attribute","ordine attributo"
"Order attribute code","Codice d'ordine attributo"
"Order attribute code:","Codice di ordinazione attributi:"
"Order Attribute Value","Order valore di attributo"
"Order Comments","Ordine Commenti"
"Order custom attribute?","Ordine personalizzato attributo?"
"Order date","Data dell'ordine"
"Order date X-pos.","Data dell'ordine X-pos."
"Order Date?","Data dell'ordine?"
"Order ID (Footer) X-pos.","ID ordine (Footer) X-pos."
"Order ID X-pos.","ID ordine X-pos."
"Order ID?","ID ordine?"
"Order of subtotals","Ordine di subtotali"
"Order Source","Order Fonte"
"Order Source?","Ordine Source?"
"Order-combined Pick List Options","Ordine combinata elenco Opzioni"
"Order-separated Pick List Options","Ordine separato elenco Opzioni"
"Orders with In Stock Items Only","Gli ordini con articoli in magazzino solo"
"Others?","Altri?"
"Output as PDF or CSV?","Uscita in formato PDF o CSV?"
"Output Excel XML file (instead of CSV)","Output file XML di Excel (invece di CSV)"
"Output Filenames","I nomi dei file di uscita"
"Output only these suppliers (Hide/Grey-out others)","emesso solo questi fornitori (Hide / grigio-out gli altri)"
"Output only this supplier (Hide/Grey-out others) . . . Leave blank to auto-split all suppliers","solo in uscita questa azienda (Nascondi / grigio-out gli altri). . . Lascia in bianco per auto-scissione tutti i fornitori"
"Override 'Minimum stock qty'","Override 'minima Qtà'"
"Override default address formatting?","Sostituisci formattazione di indirizzo predefinito?"
"Override default address layout?","Sostituisci layout di indirizzo predefinito?"
"Override filter notes messages","Filtro Override note messaggi"
"Override stock qty output with location-specific stock?","Override magazzino uscita qty con specifiche posizione magazzino?"
"Override' Minimum stock qty'","Override 'minima Qtà'"
"Packing  Sheet Products : Separating Vertical Line Color","Di fogli di prodotti: separazione verticale Color Line"
"Packing Sheet Options","Opzioni di fogli di"
"Packing Sheet Products : Separating Line Color","Di fogli di prodotti: separazione Color Line"
"Packing Sheet Products : Separating Vertical Line Color","Di fogli di prodotti: separazione verticale Color Line"
"Padding","Imbottitura"
"Page 1 Product-lines cutoff Y-pos","Pagina 1 prodotto linee di taglio Y-pos"
"Page 1 products cutoff position","Pagina 1 prodotti cutoff"
"Page Body : Color","Pagina corporeo: Colore"
"Page Body : Font","Corpo della pagina: Font"
"Page Body : Size","Corpo della pagina: Dimensioni"
"Page Body : Style","Corpo della pagina: Stile"
"Page padding","imbottitura pagina"
"page padding","pagina imbottitura"
"Page size","Dimensioni della pagina"
"Page template :","modello di pagina:"
"Page title : Color","Titolo della pagina: Colore"
"Page title : Font","Titolo della pagina: Font"
"Page title : Size","Titolo della pagina: Dimensioni"
"Page title : Style","Titolo della pagina: Stile"
"Paid Date","pagato Data"
"Paid Date?","Pagato Data?"
"Pallet 'go' weight","Pallet 'go' di peso"
"Pallet' go' weight","Pallet 'go' weight"
"Paper height","altezza di carta"
"Paper margins","margini della carta"
"Partially: lines top & bottom","Parzialmente: linee top & bottom"
"Pattern text","il testo del modello"
"Pattern to match :","Modello da abbinare:"
"Payment","Pagamento"
"Payment method?","Metodo di pagamento?"
"PDF (Address Labels)","PDF (Etichette per indirizzo)"
"PDF (Address Labels)?","PDF (Etichette per indirizzo)?"
"PDF (CN22 Labels)","PDF (CN22 etichette)"
"PDF (CN22 Labels)?","PDF (etichette CN22)?"
"PDF (Gift Message)","PDF (Gift Message)"
"PDF (Gift Message)?","PDF (Messaggio regalo)?"
"PDF (Invoice & Packing Sheet)","PDF (Invoice Sheet e imballaggio)"
"PDF (Invoice and Packing Sheet)?","PDF (Invoice Sheet e imballaggio)?"
"PDF (Invoice)","PDF (fattura)"
"PDF (Invoice)?","PDF (fattura)?"
"PDF (Order-combined Picklist)","PDF (ordine combinato Picklist)"
"PDF (Order-combined Picklist)?","PDF (ordine combinato Picklist)?"
"PDF (Order-separated Picklist)","PDF (ordine separato da Picklist)"
"PDF (Order-separated Picklist)?","PDF (ordine separato da Picklist)?"
"PDF (Orders Summary)","PDF (ordini Sintesi)"
"PDF (Orders Summary)?","PDF (Ordini Sommario)?"
"PDF (Out-of-stock List)","PDF (Out-of-magazzino List)"
"PDF (Out-of-stock List)?","PDF (Out-of-magazzino List)?"
"PDF (Packing Sheet)","PDF (Scheda di imballaggio)"
"PDF (Packing Sheet)?","PDF (imballaggio Sheet)?"
"PDF (Product-separated Picklist)","PDF (prodotto separato da Picklist)"
"PDF (Product-separated Picklist)?","PDF (prodotto separato da Picklist)?"
"PDF (Trolleybox Picklist)","PDF (Trolleybox Picklist)"
"PDF (Trolleybox Picklist)?","PDF (Trolleybox Picklist)?"
"PDF (Zebra Labels)","PDF (Zebra Etichette)"
"PDF (Zebra Labels)?","PDF (etichette Zebra)?"
"PDF Address-label Sheet","PDF Indirizzo-label Sheet"
"PDF Gift Message","Regalo PDF Messaggio"
"PDF Invoice","PDF Invoice"
"PDF Invoice &amp; Packing Sheet' Sort","PDF Invoice & amp; Imballaggio Foglio 'Sort"
"PDF Letter","PDF Lettera"
"PDF Order-combined Picklist","PDF ordine combinato Picklist"
"PDF Order-separated Picklist","PDF Ordinare separati Picklist"
"PDF Orders Summary","Ordini pdf Sommario"
"PDF Packing Sheet","PDF Imballaggio Scheda"
"PDF Packing Sheet + Invoice","PDF Imballaggio Scheda + Fattura"
"PDF page size","le dimensioni della pagina PDF"
"PDF Product-separated Picklist","PDF prodotto separato da Picklist"
"PDF Zebra Label","PDF Zebra Label"
"PDF/CSV (Out-of-stock List)","PDF / CSV (Out-of-magazzino List)"
"PDF/CSV Out-of-stock List","PDF / CSV Out-of-magazzino List"
"PDF/CSV Out-of-stock List Options","PDF / CSV out-of-stock option List"
"Pick Lists only","Scegliere solo liste"
"pickPack","pickPack"
