"'Allowance' column title",""Учет" в заголовке столбца"
"Default: 1<br />Eg. Change the display cost to match your actual end costs","По умолчанию: 1 <br /> Например. Изменение стоимости дисплея в соответствии с вашими фактические конечные затраты"
"Default: 1<br />Eg. kg -> lb = 2.2046; lb -> kg = 0.4536","По умолчанию: 1 <br /> Например. кг -> фунт = 2,2046; фунт -> кг = 0,4536"
"Default: 1<br />Eg. your base currency is USD, your manifest display currency is GBP : enter the exchange rate multiplier for USD -> GBP","По умолчанию: 1 <br /> Например. ваша базовая валюта USD, ваш манифест валюты дисплей GBP: ввести множитель обменного курса для USD -> GBP"
"Default: 100","По умолчанию: 100"
"Default: 13pt/5pt (top/bottom), 5pt (left/right)","По умолчанию: 13pt / 5pt (верх / низ), 5pt (левая / правая)"
"Default: 17","По умолчанию: 17"
"Default: 185","По умолчанию: 185"
"Default: 2 [1.1256 becomes 1.13]","По умолчанию: 2 [1,1256 становится 1.13]"
"Default: 2<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","По умолчанию: 2 <br /> Например. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21,67; @ -1 = 20"
"Default: 200","По умолчанию: 200"
"Default: 22pt (top/bottom), 30pt (left/right)","По умолчанию: 22pt (верх / низ), 30pt (левая / правая)"
"Default: 25","По умолчанию: 25"
"Default: 25 -->","По умолчанию: 25 ->"
"Default: 25, 25 (can leave one blank)","По умолчанию: 25, 25 (может оставить один пробел)"
"Default: 250","По умолчанию: 250"
"Default: 250, 100. Need to select [Yes] on "Show order gift message" or "Show product gift message".","По умолчанию: 250, 100. Необходимо выбрать [Да] на "Показать заказ подарка сообщение" или "подарок сообщение Показать продукт"."
"Default: 250, 100. Need to select yes on "Show order gift message" or "Show product gift message"","По умолчанию: 250, 100. Необходимо выбрать да на "Показать заказ подарка сообщение" или "Показать продукт подарок сообщение""
"Default: 250x182","По умолчанию: 250x182"
"Default: 3","По умолчанию: 3"
"Default: 350","По умолчанию: 350"
"Default: 380","По умолчанию: 380"
"Default: 40","По умолчанию: 40"
"Default: 400","По умолчанию: 400"
"Default: 420","По умолчанию: 420"
"Default: 450","По умолчанию: 450"
"Default: 460","По умолчанию: 460"
"Default: 475","По умолчанию: 475"
"Default: 480","По умолчанию: 480"
"Default: 50","По умолчанию: 50"
"Default: 500","По умолчанию: 500"
"Default: 520","По умолчанию: 520"
"Default: 5pt (top/bottom), 5pt (left/right)","По умолчанию: 5pt (верх / низ), 5pt (левая / правая)"
"Default: 5pt/5pt (top/bottom), 5pt/5pt (left/right)","По умолчанию: 5pt / 5pt (верх / низ), 5pt / 5pt (влево / вправо)"
"Default: 67","По умолчанию: 67"
"Default: 8","По умолчанию: 8"
"Default: 80","По умолчанию: 80"
"Default: backordered","По умолчанию: Освобождающиеся"
"Default: Bold","По умолчанию: Жирный"
"Default: center","По умолчанию: центр"
"Default: Code128","По умолчанию: Code128"
"Default: codes","По умолчанию: коды"
"Default: Empty","По умолчанию: Пусто"
"Default: Grand Total","По умолчанию: Grand Total"
"Default: ID","По умолчанию: ID"
"Default: ID -->","По умолчанию: ID ->"
"Default: invoice_","По умолчанию: invoice_"
"Default: invoice+packing-sheet_","По умолчанию: счет-фактура + упаковка-sheet_"
"Default: items","По умолчанию: пункты"
"Default: Left (if right, turn off barcodes, addresses; if full-width no company","По умолчанию: слева (если правая, выключите штрих-коды, адреса, если полной ширины ни одна компания"
"Default: M j, Y . Format this according to www.php.net/date","По умолчанию: M J, Y. Этот формат в соответствии с www.php.net/date~~pobj"
"Default: Method B","По умолчанию: Метод B"
"Default: name","По умолчанию: имя"
"Default: order-combined_","По умолчанию: заказ-combined_"
"Default: order-separated_","По умолчанию: заказ-separated_"
"Default: out-of-stock-list_","По умолчанию: вне фондовой list_"
"Default: packing-sheet_","По умолчанию: упаковка-sheet_"
"Default: Phone","По умолчанию: Телефон"
"Default: Phone -->","По умолчанию: Телефон ->"
"Default: product-separated_","По умолчанию: продукт-separated_"
"Default: pt (top/bottom), pt (left/right)","По умолчанию: пт (верх / низ), пт (влево / вправо)"
"Default: Qty","По умолчанию: Кол-во"
"Default: Qty -->","По умолчанию: Кол-во ->"
"Default: Ship to:","По умолчанию: Корабль:"
"Default: Shipping","По умолчанию: Доставка"
"Default: Simple product name","По умолчанию: Простой название продукта"
"Default: Source","По умолчанию: Источник"
"Default: Subtotal","По умолчанию: Итог"
"Default: tax","По умолчанию: налог"
"Default: total","По умолчанию: общая"
"Default: USD","По умолчанию: USD"
"Default: VAT Rateable","По умолчанию: НДС соразмерный"
"Default: warehouse","По умолчанию: склад"
"Default: Y_m_d . Format this according to www.php.net/date","По умолчанию: Y_m_d. Этот формат в соответствии с www.php.net/date~~pobj"
"Default: Zero-rated","По умолчанию: Нулевая рейтингом"
"Default:7","По умолчанию: 7"
"Default: No","По умолчанию: Нет"
"Default: Yes","По умолчанию: Да"
"Depends on your stock management system","Зависит от вашей системы управления запасами"
"Descending","нисходящий"
"Detailed CC info?","Подробная информация CC?"
"Dimensions","Габаритные размеры"
"Dimensions : 'Label width' x 'Label height' @ 300dpi : non-interlaced and non-transparent .png","Размеры: 'ширина этикетки' X 'Метка высота' @ 300dpi: нечередованный и непрозрачный .png"
"Dimensions 180<b style="color:red;">pt</b> x 120<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Размеры 180 <б стиль = "цвет: красный;"> пт </ b> х 120 <б стиль = "цвет: красный;"> пт </ b> @ 300dpi: развертку <B> и </ b> непрозрачный .png"
"Dimensions 540<b style="color:red;">pt</b>(A4)|562<b style="color:red;">pt</b>(US Letter) x 1-200<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Размеры 540 <б стиль = "цвет: красный;"> пт </ b> (A4) | ​​562 <б стиль = "цвет: красный;"> пт </ b> (US Letter) х 1-200 <B стиль = "цвет: красный;"> пт </ b> @ 300dpi: развертку <B> и </ b> непрозрачный .png"
"Dispatch Date?","Дата отправки?"
"Don't count these custom option SKUs :","Не считайте эти пользовательские опции SKUs:"
"Double-line spacing?","Расстояние между двойной линией?"
"Double-up this barcode?","Дважды до этого штрих-кода?"
"Drink Flag","Пить флаг"
"E: ","Е:"
"Eg. nudge it up off integrated labels","Например. подталкивать его вверх от интегрированных меток"
"eg. put 'wholesale', then only wholesale customers will see 'Message B'","например. поставил 'оптовые', то только оптовые клиенты будут видеть 'сообщение B'"
"eg. put your country, then only overseas orders will have country added","например. поместить вашу страну, добавил тогда только зарубежные заказы будут иметь страны"
"Eg. shelving info","Например. стеллажи Информация"
"Email: Body","E-mail: Body"
"Email: Send To","Электронная почта: Послать"
"Email: Sender","E-mail: Отправитель"
"Email: Subject","Тема письма"
"Enable auto processing?","Включить автоматическую обработку?"
"Enter your license key here","Введите свой лицензионный ключ здесь"
"Exactly position shipping detail (eg. for envelope window)","Точно положение груза детали (например. Для окна конвертов)"
"Exactly position top address (eg. for envelope window)","Точно расположите верхний адрес (например. Для окна конвертов)"
"Export","экспорт"
"Export: Path","Экспорт: Путь"
"Extra attribute position","Позиция Extra атрибут"
"F: ","F:"
"File Path","Путь к файлу"
"Fill Bars?","Заполните бары?"
"Fill bkg comments box ?","Заполните BKG поле для комментариев?"
"Fill columns titlebar?","Заполните столбцы заголовок окна?"
"Filter again?","Фильтр снова?"
"Filter by supplier?","Фильтр по производителям?"
"Filter items again?","Фильтр детали снова?"
"Filter items by status?","Фильтр элементов по статусу?"
"Filter items?","элементы фильтра?"
"Filter order notes?","замечания порядок фильтра?"
"Filter out some options?","Фильтр некоторые варианты?"
"Filter out some?","Фильтр некоторые?"
"Filter out these attributes","Фильтр из этих атрибутов"
"Filter out these custom option SKUs :","Фильтр эти пользовательские опции SKUs:"
"Filter shipped items?","Фильтр погруженные детали?"
"Filter text","текст фильтра"
"Filter text (don't show notes containg this text)","Текст фильтра (не показывать заметки текст которой находится этот)"
"Filter?","Фильтр?"
"Filter/Split which PDFs?","Фильтр / Split, который PDF-файлов?"
"Filters: Order-separated PDFs, Order-combined PDFs","Фильтры: Заказать разделенных PDF-файлов, заказа комбинированные PDF-файлы"
"First Name","Имя"
"First order starts at","Первый заказ начинается"
"Fix Subtotals to page base","Fix подытогами на страницу базы"
"Flat-address font size","Мини-адрес размер шрифта"
"Font","Шрифт"
"Font size","Размер шрифта"
"Font size (Product Lines)","Размер шрифта (Линии продукции)"
"Font size (Return address)","Размер шрифта (Обратный адрес)"
"Font size (Shipping address)","Размер шрифта (Адрес доставки)"
"For all customer group types","Для всех типов групп клиентов"
"For any customer group containing filter word","Для любой группы клиентов, содержащего слова фильтра"
"For configurable products, show:","Для конфигурируемых продуктов, показать:"
"For custom minimum stock levels for specific SKUs, set like this:","Для пользовательских уровней минимального запаса для конкретных артикулов, установленных следующим образом:"
"For full-page sharp backgrounds, upload images with dimensions  595<b style="color:red;">pt</b> x 842<b style="color:red;">pt</b> (A4), or 612<b style="color:red;">pt</b> x 792<b style="color:red;">pt</b> (Letter)","Для получения полной страницы острых фонов, загружать изображения с размерами 595 <B стиль = "цвет: красный;"> пт </ b> х 842 <B стиль = "цвет: красный;"> пт </ b> (A4), или 612 <б стиль = "цвет: красный;"> пт </ b> х 792 <б стиль = "цвет: красный;"> пт </ b> (Письмо)"
"For Internal Print Flags use "0" to avoid duplicate printing","Для внутренних флагов печати использовать "0", чтобы избежать дублирования печати"
"Force gift message font?","подарок Force сообщение шрифта?"
"Format product options?","Параметры Формат продукта?"
"Format product?","Формат продукта?"
"FTP host","FTP хост"
"FTP password","FTP пароль"
"FTP port","FTP порт"
"FTP remote path","FTP удаленный путь"
"FTP user","пользователь FTP"
"Full height of each label (default 168pt)","Полная высота каждого ярлыка (по умолчанию 168pt)"
"Full height of each label (default 432pt)","Полная высота каждого ярлыка (по умолчанию 432pt)"
"Full Page Width","Полная Ширина страницы"
"Full width of each label (default 190pt)","Полная ширина каждого ярлыка (по умолчанию 190pt)"
"Full width of each label (default 288pt)","Полная ширина каждого ярлыка (по умолчанию 288pt)"
"Gallery Images (Max 2)","Галерея изображений (Макс 2)"
"General : CSV","Общие сведения: CSV"
"General : PDF","Общие сведения: PDF"
"General Options","Общие настройки"
"Germany CN22 Label Image","Германия CN22 Этикетка Изображение"
"Gift card","Подарочная карта"
"Gift message","Подарок сообщение"
"Gift Message : Background Color","Подарок сообщение: Цвет фона"
"Gift Message : Color","Подарок Сообщение: Цвет"
"Gift Message : Font","Подарок сообщение: Шрифт"
"Gift Message : Size","Подарок сообщение: Размер"
"Gift Message : Style","Подарок сообщение: Стиль"
"Gift wrap","Подарочная упаковка"
"Goes at page base - good for integrated labels","Идет на странице базы - хорошо для интегрированных меток"
"Goes at page base - handy for QC","Идет на странице базы - удобно для контроля качества"
"Goes on the right of the header logo","Идет на справа от логотипа заголовка"
"Goes on the top-left of the page","Идет на верхнем левом углу страницы"
"Good for 3-part integrated labels, eg. for peel-off address records","Хорошо для 3-х частей комплексных этикеток, например. для отслаивания адресных записей"
"Good for a footer image","Хорошо для нижнего колонтитула изображения"
"Good for integrated labels","Хорошо для интегрированных меток"
"Good for tax numbers, return instructions","Хорошо для налоговых номеров, инструкции по возврату"
"Good for things like tear-off labels, or adding to the return address abel to make it a 'Returns Label'","Хорошо подходит для таких вещей, как отделяемые этикетки, или добавление к обратного адреса Авеля, чтобы сделать его "Возвращения ярлык""
"Grand Total (from Magento)?","Grand Total (от Magento)?"
"Grey out products from other suppliers","Серый из продуктов от других поставщиков"
"Group by Category?","Группа по категориям?"
"Group With Other Prints","Группа С других отпечатков"
"Header logo","Логотип заголовка"
"Hide if gift order?","Скрыть, если заказ подарка?"
"Hide prices if a gift order?","Скрыть цены, если подарок заказ?"
"Hide product option labels?","опция продукт Скрыть метки?"
"Hide products from other suppliers","Скрыть товары от других поставщиков"
"Hide Shipping Method for Store-Pickup orders?","Скрыть способ доставки для Store-Pickup заказов?"
"Hide supplier attribute column?","Скрыть столбец с поставщиком атрибутов?"
"Hide these groups :","Скрыть эти группы:"
"Hide this 'country name'","Скрыть это "название страны""
"Hide this 'country name' :","Скрыть это "название страны:"
"Hide this' country name' :","Скрыть это "название страны:"
"Hide Virtual and Downloadable products from PDFs?","Скрыть Виртуальные и загружаемые продукты из PDF-файлов?"
"Hide zero discount value?","Скрыть нулевое значение скидку?"
"Hide zero shipping value?","Скрыть нулевое значение доставки?"
"Hide zero tax value?","Скрыть нулевое значение налога?"
"High-res","Высокое разрешение"
"high-res/low-res?","высоким разрешением / низким разрешением?"
"High/Low Resolution?","Высокое / низкое разрешение?"
"Hold?","Держать?"
"Holland CN22 Label Image","Holland CN22 Ярлык Изображение"
"Horizontal bars : Background Color","Турники: Цвет фона"
"Ie. if you want them listed together and not in separate columns","Т.е.. если вы хотите, чтобы они перечислены вместе, а не в отдельных столбцах"
"If 'Yes' this won't include items which have been marked as shipped.","Если "да", это не будет включать в себя элементы, которые были помечены как погружено."
"If child image missing, show parent?","Если ребенок изображение отсутствует, показать родителя?"
"If set to Yes, after an order has been printed, you can only re-print it from inside the Order Detail page.<br />The aim is to avoid shipping the same order multiple times by mistake.","Если установлено значение Да, после того, как заказ был напечатан, вы можете только повторно распечатать его внутри страницы Order Detail. <br /> Цель состоит в том, чтобы избежать грузить тот же порядок несколько раз по ошибке."
"If supplier 'logged in', do what with other suppliers products?","Если поставщик "вошли в систему", делать то, что с другими поставщиками продуктов?"
"If you get long addresses that spill over the edge of your label, set this number to force a linebreak","Если вы получаете длинные адреса, перельется через край этикетки, установите этот номер, чтобы заставить разрыв строки"
"If you ship a lot of single items, this can help alert your shipping staff that","Если вы отправляете много отдельных элементов, это может помочь предупредить ваших сотрудников по транспортировке грузов, что"
"If you ship a lot of single items, this can help alert your shipping staff that there's more than one!","Если вы отправляете много отдельных элементов, это может помочь предупредить ваших сотрудников по транспортировке грузов, что есть больше чем один!"
"If you're using shipEasy, and have setup any of the 3 custom flag columns, you can show the value.","Если вы используете shipEasy, и есть установка любой из 3 настраиваемых колонок флага, вы можете показать значение."
"Image behind return address?","Изображение за обратный адрес?"
"Image behind ship address?","Изображение за адрес корабля?"
"Image border color","граница изображения цвет"
"Image file","Файл изображения"
"Image nudge","изображение подталкивание"
"Image position nudge","Положение изображения подталкивание"
"Images column title","Название изображения колонка"
"Import","Импортировать"
"In positionable box (handy for tear-off labels)","В позиционируемый коробке (удобно для отрывных этикеток)"
"Incl.","Включительно"
"Include customer phone in addresses?","Включите телефон клиента в адресах?"
"Include discount?","Включите скидку?"
"Include discounts in product line price","Включить скидки в цене линии продукта"
"Include Order ID in filename for single page print?","Включить идентификатор заказа в имени файла для одной страницы печати?"
"Include Order ID in filename for single page prints?","Включить идентификатор заказа в имени файла для отдельных страниц печатных изданий?"
"Include order notes?","Включить заметки заказ?"
"Include shipping country in addresses?","Включить отправка страну в адресах?"
"Include tax in 'Shipping'?","Включить налог в "Доставка"?"
"Include Tax in Price?","Без учета налога в цене?"
"Include Tax in Shipping Price?","Включить налог в стоимость доставки?"
"Include tax in value?","Включить налог в стоимости?"
"Include tax?","Включить налог?"
"Installation Server","Установка сервера"
"Invert some of the title colors...","Обратить некоторые из названия цветов ..."
"Invoice Address","Адрес выставления счета"
"Invoice Date","Дата счета"
"Invoice ID?","Счет-фактура ID?"
"Invoice Number","Номер счета"
"Invoice Options","Варианты счетов-фактур"
"Invoiced Date","Фактурная Дата"
"Is this included in the Subtotal?","Является ли это включено в Итого?"
"Italic","курсив"
"Item Count","Пункт Count"
"Items column title","Пункты название колонки"
"Items count?","кол-товары?"
"Label","метка"
"Label height","высота этикетки"
"Label margins","поля этикетки"
"Label Nudge","Этикетка Сдвинуть"
"Label padding","Этикетка обивка"
"Label width","ширина этикетки"
"Layout template","Макет шаблона"
"License","Лицензия"
"License Key","Лицензионный ключ"
"Line above fixed footer image?","Линия выше фиксированного нижнего колонтитула изображения?"
"Line widths","ширина линий"
"Lock image to page base?","Блокировка изображения на страницы базы?"
"Logo position","Логотип позиции"
"Low-res","Низкое разрешение"
"Magento Order ID","Magento ID заказа"
"Main Image","Основное изображение"
"Makes gift orders a bit happier-looking by adding a special image on the message box.","Делает подарочные заказы немного счастливее, смотрящий, добавив специальное изображение в окне сообщения."
"Manual description 1","Руководство Описание 1"
"Margin (from right)","Маржа (справа)"
"Margin (from right) for flat-address","Маржа (справа) для плоского-адресу"
"Marketplace Order ID","Торговая ID заказа"
"Match shipping description :","Матч перевозка груза Описание:"
"Match text:","Текст матча:"
"Max address width (pt)","Максимальная ширина адрес (пт)"
"Max dimensions","Максимальные размеры"
"Max weight per box","Максимальный вес в упаковке"
"Max width","Максимальная ширина"
"Messages","Сообщения"
"Middle of page","Середина страницы"
"Min. weight to hide shipment method and put 'Pallet'","Минимум вес, чтобы скрыть метод пересылки и положить 'Поддон'"
"Minimum stock qty","Минимальное кол-во акций"
"Moogento","Moogento"
"Moogento pickPack","Moogento pickPack"
"Moogento pickPack : CSV (Order-combined Products)","Moogento pickPack: CSV (Заказать комбинированные продукты)"
"Moogento pickPack : CSV (Order-separated Products)","Moogento pickPack: CSV (Order разделённых Products)"
"Moogento pickPack : CSV (Orders)","Moogento pickPack: CSV (Заказы)"
"Moogento pickPack : CSV/XML (Cargo Manifest)","Moogento pickPack: CSV / XML (грузовой манифест)"
"Moogento pickPack : PDF (Address Labels)","Moogento pickPack: PDF (Адрес Этикетки)"
"Moogento pickPack : PDF (CN22 Labels)","Moogento pickPack: PDF (CN22 этикетки)"
"Moogento pickPack : PDF (Gift Message)","Moogento pickPack: PDF (Подарочное сообщение)"
"Moogento pickPack : PDF (Invoice and Packing Sheet)","Moogento pickPack: PDF (счет-фактура и упаковочный лист)"
"Moogento pickPack : PDF (Invoice)","Moogento pickPack: PDF (счет-фактура)"
"Moogento pickPack : PDF (Order-combined Picklist)","Moogento pickPack: PDF (Order-комбинированный Picklist)"
"Moogento pickPack : PDF (Order-separated Picklist)","Moogento pickPack: PDF (Order разделенных Picklist)"
"Moogento pickPack : PDF (Orders Summary)","Moogento pickPack: PDF (Заказы Резюме)"
"Moogento pickPack : PDF (Packing Sheet)","Moogento pickPack: PDF (упаковочный лист)"
"Moogento pickPack : PDF (Product-separated Picklist)","Moogento pickPack: PDF (продукт разделенных Picklist)"
"Moogento pickPack : PDF (Troylleybox Picklist)","Moogento pickPack: PDF (Troylleybox Picklist)"
"Moogento pickPack : PDF (Zebra Labels)","Moogento pickPack: PDF (Zebra этикетки)"
"Moogento pickPack : PDF/CSV (Out-of-stock List)","Moogento pickPack: PDF / CSV (Нет в наличии списка)"
"Multiplier Attribute","Мультипликатор Атрибут"
"Multiplies product price by set multiplication factor. Eg. use to show product price limit for substitutions in pick","цена продукта Умножение на коэффициент умножения набора. Например. использовать, чтобы показать продукт предел цены для замен в киркой"
"Multiplies product price by set multiplication factor.<br />Eg. use to show product price limit for substitutions in pick","Умножение цена продукта на коэффициент умножения набора. <br /> Напр. использовать, чтобы показать продукт предел цены для замен в киркой"
"Multiply prices by attribute?","Умножение цены на атрибут?"
"Name from Order","Имя из ордена"
"Name from Product > Default Store","Имя из продукта> По умолчанию магазин"
"Name from Product > Order Store *Default*","Имя из продукта> Заказ магазина * По умолчанию *"
"Name from Product > Specific Store","Имя из продукта> конкретном магазине"
"New page per order?","Новая страница в порядке?"
"New PDF per name?","Новый PDF на имя?"
"No","Нет"
"No (default)","Нет (по умолчанию)"
"No of Items per page","Нет элементов на странице"
"No, include all items in order","Нет, включают в себя все элементы в порядке"
"No, include it in the product price","Нет, включить его в цену товара"
"No, include it in the product price (but also show a tax subtotal summary)","Нет, включить его в цену продукта (но также показывают резюме налогового субтотальную)"
"No, move other items to new line (+ keep linebreaks)","Нет, переместить другие элементы на новую строку (+ сохранить переносы строк)"
"No, without Tax","Нет, без налога"
"None","Никто"
"Normal' Dimensions:  269<b style="color:red;">pt</b> x 41<b style="color:red;">pt</b> @ 300dpi<br />","Нормальные 'Размеры: 269 <б стиль = "Цвет: красный;"> пт </ b> 41 х <б стиль = "цвет: красный;"> PT </ B> @ 300dpi <br />"
"Not recommended... Use at your own risk...","Не рекомендуется ... Используйте на свой страх и риск ..."
"Nudge","слегка подталкивать локтем"
"Nudge 'Packed 2 by' note","Сдвинуть 'Упакованные 2' по ноте"
"Nudge 'Packed by' text","Сдвинуть 'упакованный' текст"
"Nudge <b>autoCN22</b> label","Сдвинуть <B> autoCN22 </ b> ярлык"
"Nudge 2nd address","Сдвинуть 2-й адрес"
"Nudge 2nd barcode","Сдвинуть 2-й штрих-кода"
"Nudge 2nd custom title","Сдвинуть 2-ое пользовательское название"
"Nudge 2nd image","Сдвинуть 2-ое изображение"
"Nudge address","Сдвинуть адрес"
"Nudge background image","Сдвинуть фоновое изображение"
"Nudge barcode","Сдвинуть штрих-кода"
"Nudge CN22 label","Сдвинуть ярлык CN22"
"Nudge company address","Сдвинуть адрес компании"
"Nudge details","Сдвинуть детали"
"Nudge entire label","Сдвинуть весь ярлык"
"Nudge fixed image","Сдвинуть неподвижного изображения"
"Nudge flat-address","Сдвинуть плоский-адрес"
"Nudge gift message","Сдвинуть подарок сообщение"
"Nudge image","Сдвинуть изображение"
"Nudge label image","Сдвинуть этикетки изображения"
"Nudge logo","Сдвинуть логотип"
"Nudge Order ID","Сдвинуть ID заказа"
"Nudge Order ID barcode","Сдвинуть ID заказа штрих-кода"
"Nudge order notes","Сдвинуть примечания заказа"
"Nudge product line","Сдвинуть линейка продуктов"
"Nudge qr-code (1)","Сдвинуть QR-код (1)"
"Nudge qr-code (2)","Сдвинуть QR-код (2)"
"Nudge return address","Сдвинуть обратный адрес"
"Nudge return label","Сдвинуть возврата этикетки"
"Nudge Rotated Product List","Сдвинуть Список продуктов повернутого"
"Nudge shelving","Сдвинуть стеллажи"
"Nudge shipping address","Сдвинуть адрес доставки"
"Nudge shipping address only","Сдвинуть адрес доставки только"
"Nudge supplier attribute","Сдвинуть атрибут поставщика"
"Nudge title","Сдвинуть название"
"Nudge tracking barcode","Сдвинуть отслеживания штрих-кода"
"Nudge tracking number","Сдвинуть идентификационный номер"
"Nudge Zipcode barcode","Сдвинуть ZipCode штрих-код"
"Nudge' Packed by' note","Сдвинуть 'упакованный' ноты"
"Number product list?","Список номер продукта?"
"Only print once?","Только печать один раз?"
"Only process orders matching shipEasy attribute?","Только обрабатывать заказы, соответствующие атрибут shipEasy?"
"Operand?","Операнд?"
"Order Attribute","Заказать Атрибут"
"Order attribute code","Код атрибута заказа"
"Order attribute code:","Код атрибута для заказа:"
"Order Attribute Value","Заказ значения атрибута"
"Order Comments","Заказать Комментарии"
"Order custom attribute?","Заказать пользовательский атрибут?"
"Order date","Дата заказа"
"Order date X-pos.","Дата заказа X-поз."
"Order Date?","Дата заказа?"
"Order ID (Footer) X-pos.","ID заказа (Footer) X-поз."
"Order ID X-pos.","Идентификатор заказа X-поз."
"Order ID?","Номер заказа?"
"Order of subtotals","Порядок подытогами"
"Order Source","Заказать Источник"
"Order Source?","Заказать Источник?"
"Order-combined Pick List Options","Заказать комбинированные варианты списка выбора"
"Order-separated Pick List Options","Заказать разделённых Параметры списка выбора"
"Orders with In Stock Items Only","Заказы с на складе Только"
"Others?","Другие?"
"Output as PDF or CSV?","Вывод в формате PDF или CSV?"
"Output Excel XML file (instead of CSV)","Вывод Excel XML-файл (вместо CSV)"
"Output Filenames","Вывод имен файлов"
"Output only these suppliers (Hide/Grey-out others)","Выход только эти поставщики (Скрыть / Серый из других)"
"Output only this supplier (Hide/Grey-out others) . . . Leave blank to auto-split all suppliers","Выход только этот поставщик (Скрыть / Grey-аут другие). , , Оставьте пустым для автоматического разделения всех поставщиков"
"Override 'Minimum stock qty'","Override 'Минимальное кол-во акций'"
"Override default address formatting?","Override форматирование адреса по умолчанию?"
"Override default address layout?","Перекрыть по умолчанию расположение адресов?"
"Override filter notes messages","Override фильтр отмечает сообщения"
"Override stock qty output with location-specific stock?","Override запаса выход с Кол-во местоположения конкретных акций?"
"Override' Minimum stock qty'","Override 'Минимальное кол-во акций'"
"Packing  Sheet Products : Separating Vertical Line Color","Упаковка листовой продукции: Разделительная вертикальная линия Цвет"
"Packing Sheet Options","Варианты упаковки листового металла"
"Packing Sheet Products : Separating Line Color","Упаковка листовой продукции: разделительная линия Цвет"
"Packing Sheet Products : Separating Vertical Line Color","Упаковка листовой продукции: Разделительная вертикальная линия Цвет"
"Padding","набивка"
"Page 1 Product-lines cutoff Y-pos","Page 1 Продукт-линии отсечки Y-Pos"
"Page 1 products cutoff position","Page 1 продукты позиции среза"
"Page Body : Color","Страница Кузов: Цвет"
"Page Body : Font","Страница Body: шрифт"
"Page Body : Size","Страница Body: Размер"
"Page Body : Style","Страница Кузов: Стиль"
"Page padding","обивка Page"
"page padding","страница обивка"
"Page size","Размер страницы"
"Page template :","Шаблон страницы:"
"Page title : Color","Заголовок страницы: Цвет"
"Page title : Font","Заголовок страницы: Шрифт"
"Page title : Size","Заголовок страницы: Размер"
"Page title : Style","Заголовок страницы: Стиль"
"Paid Date","Платная Дата"
"Paid Date?","Платная Дата?"
"Pallet 'go' weight","Поддон 'идти' вес"
"Pallet' go' weight","Поддон 'идти' вес"
"Paper height","высота бумаги"
"Paper margins","поля бумаги"
"Partially: lines top & bottom","Частично: линии снизу вверх и"
"Pattern text","шаблон текста"
"Pattern to match :","Шаблон для соответствия:"
"Payment","Оплата"
"Payment method?","Способ оплаты?"
"PDF (Address Labels)","PDF (Адрес Этикетки)"
"PDF (Address Labels)?","PDF (адрес этикетки)?"
"PDF (CN22 Labels)","PDF (CN22 этикетки)"
"PDF (CN22 Labels)?","PDF (CN22 этикетки)?"
"PDF (Gift Message)","PDF (Подарочное сообщение)"
"PDF (Gift Message)?","PDF (Подарочное сообщение)?"
"PDF (Invoice & Packing Sheet)","PDF (счет-фактура и упаковочный лист)"
"PDF (Invoice and Packing Sheet)?","PDF (счет-фактура и упаковочный лист)?"
"PDF (Invoice)","PDF (счет-фактура)"
"PDF (Invoice)?","PDF (счет-фактура)?"
"PDF (Order-combined Picklist)","PDF (Order-комбинированный Picklist)"
"PDF (Order-combined Picklist)?","PDF (Order-комбинированный Picklist)?"
"PDF (Order-separated Picklist)","PDF (Order разделенных Picklist)"
"PDF (Order-separated Picklist)?","PDF (Order разделенных Picklist)?"
"PDF (Orders Summary)","PDF (Заказы Резюме)"
"PDF (Orders Summary)?","PDF (Заказы Резюме)?"
"PDF (Out-of-stock List)","PDF (отсутствующий Список)"
"PDF (Out-of-stock List)?","PDF (отсутствующий список)?"
"PDF (Packing Sheet)","PDF (упаковочный лист)"
"PDF (Packing Sheet)?","PDF (упаковочный лист)?"
"PDF (Product-separated Picklist)","PDF (продукт разделенных Picklist)"
"PDF (Product-separated Picklist)?","PDF (продукт разделенных Picklist)?"
"PDF (Trolleybox Picklist)","PDF (Trolleybox Picklist)"
"PDF (Trolleybox Picklist)?","PDF (Trolleybox Picklist)?"
"PDF (Zebra Labels)","PDF (Zebra этикетки)"
"PDF (Zebra Labels)?","PDF (Zebra этикетки)?"
"PDF Address-label Sheet","PDF Адрес метки Sheet"
"PDF Gift Message","PDF Подарок сообщение"
"PDF Invoice","Счет в PDF"
"PDF Invoice &amp; Packing Sheet' Sort","Счет в PDF & Amp; Упаковка Лист 'Сортировка"
"PDF Letter","PDF Письмо"
"PDF Order-combined Picklist","PDF Заказать комбинированные Picklist"
"PDF Order-separated Picklist","PDF Заказать разделенных Picklist"
"PDF Orders Summary","PDF Заказы Резюме"
"PDF Packing Sheet","PDF Упаковка Sheet"
"PDF Packing Sheet + Invoice","PDF Лист упаковки + счет-фактура"
"PDF page size","размер PDF страницы"
"PDF Product-separated Picklist","PDF Продукт разделенных Picklist"
