"'Allowance' column title","заглавие колона "Помощи""
"Default: 13pt/5pt (top/bottom), 5pt (left/right)","По подразбиране: 13pt / 5pt (горе / долу), 5pt (ляво / дясно)"
"Default: 17","По подразбиране: 17"
"Default: 185","По подразбиране: 185"
"Default: 2 [1.1256 becomes 1.13]","По подразбиране: 2 [1.1256 става 1.13]"
"Default: 2<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","По подразбиране: 2 <br /> Напр. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21.67; @ -1 = 20"
"Default: 200","По подразбиране: 200"
"Default: 22pt (top/bottom), 30pt (left/right)","По подразбиране: 22pt (горе / долу), 30pt (ляво / дясно)"
"Default: 25","По подразбиране: 25"
"Default: 25 -->","По подразбиране: 25 ->"
"Default: 25, 25 (can leave one blank)","По подразбиране: 25, 25 (може да остави един празен)"
"Default: 250","По подразбиране: 250"
"Default: 250, 100. Need to select [Yes] on "Show order gift message" or "Show product gift message".","По подразбиране: 250, 100. Необходимо е да изберете [Yes] на "Show, за подарък съобщение" или "съобщение подарък Show продукт"."
"Default: 250, 100. Need to select yes on "Show order gift message" or "Show product gift message"","По подразбиране: 250, 100. Необходимо е да изберете Да върху "Покажи, за подарък съобщение" или "Покажи съобщение продукт подарък""
"Default: 250x182","По подразбиране: 250x182"
"Default: 3","По подразбиране: 3"
"Default: 350","По подразбиране: 350"
"Default: 380","По подразбиране: 380"
"Default: 40","По подразбиране: 40"
"Default: 400","По подразбиране: 400"
"Default: 420","По подразбиране: 420"
"Default: 450","По подразбиране: 450"
"Default: 460","По подразбиране: 460"
"Default: 475","По подразбиране: 475"
"Default: 480","По подразбиране: 480"
"Default: 50","По подразбиране: 50"
"Default: 500","По подразбиране: 500"
"Default: 520","По подразбиране: 520"
"Default: 5pt (top/bottom), 5pt (left/right)","По подразбиране: 5pt (горе / долу), 5pt (ляво / дясно)"
"Default: 5pt/5pt (top/bottom), 5pt/5pt (left/right)","По подразбиране: 5pt / 5pt (горе / долу), 5pt / 5pt (ляво / дясно)"
"Default: 67","По подразбиране: 67"
"Default: 8","По подразбиране: 8"
"Default: 80","По подразбиране: 80"
"Default: backordered","По подразбиране: поръчани при изчерпана наличност"
"Default: Bold","По подразбиране: Bold"
"Default: center","По подразбиране: център"
"Default: Code128","По подразбиране: Code128"
"Default: codes","По подразбиране: кодове"
"Default: Empty","По подразбиране: Empty"
"Default: Grand Total","По подразбиране: Grand Total"
"Default: ID","По подразбиране: ID"
"Default: ID -->","По подразбиране: ID ->"
"Default: invoice_","По подразбиране: invoice_"
"Default: invoice+packing-sheet_","По подразбиране: фактура + опаковане-sheet_"
"Default: items","По подразбиране: позиции"
"Default: Left (if right, turn off barcodes, addresses; if full-width no company","По подразбиране: Left (ако полето, изключете баркодове, адреси; ако пълна ширина нито една компания"
"Default: M j, Y . Format this according to www.php.net/date","По подразбиране: M й, Y. Формат това според www.php.net/date"
"Default: Method B","По подразбиране: Метод Б"
"Default: name","По подразбиране: име"
"Default: order-combined_","По подразбиране: поръчка-combined_"
"Default: order-separated_","По подразбиране: поръчка-separated_"
"Default: out-of-stock-list_","По подразбиране: извън-борсови list_"
"Default: packing-sheet_","По подразбиране: опаковане-sheet_"
"Default: Phone","По подразбиране: Телефон"
"Default: Phone -->","По подразбиране: Телефон ->"
"Default: product-separated_","По подразбиране: продукт-separated_"
"Default: pt (top/bottom), pt (left/right)","По подразбиране: pt (горе / долу), pt (ляво / дясно)"
"Default: Qty","По подразбиране: Количество"
"Default: Qty -->","По подразбиране: Количество ->"
"Default: Ship to:","По подразбиране: Кораб за:"
"Default: Shipping","По подразбиране: Доставка"
"Default: Simple product name","По подразбиране: Simple име на продукт"
"Default: Source","По подразбиране: Source"
"Default: Subtotal","По подразбиране: Междинна сума"
"Default: tax","По подразбиране: данък"
"Default: total","По подразбиране: общо"
"Default: USD","По подразбиране: USD"
"Default: VAT Rateable","По подразбиране: ДДС оценим"
"Default: warehouse","По подразбиране: склад"
"Default: Y_m_d . Format this according to www.php.net/date","По подразбиране: Y_m_d. Формат това според www.php.net/date"
"Default: Zero-rated","По подразбиране: нулева ставка"
"Default:7","По подразбиране: 7"
"Default: No","По подразбиране: Не"
"Default: Yes","По подразбиране: Да"
"Depends on your stock management system","Зависи от вашата система за управление на склад"
"Descending","Низходящо"
"Detailed CC info?","Подробна информация CC?"
"Dimensions","Размери"
"Dimensions : 'Label width' x 'Label height' @ 300dpi : non-interlaced and non-transparent .png","Размери: "ширина Label" Х "височина Label" @ 300dpi: развивка и непрозрачен .png"
"Dimensions 180<b style="color:red;">pt</b> x 120<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Размери 180 <б стил = "цвят: червен;"> т </ б> х 120 <б стил = "цвят: червен;"> т </ B> @ 300dpi: разделителна <б> и </ B> непрозрачен .png"
"Dimensions 540<b style="color:red;">pt</b>(A4)|562<b style="color:red;">pt</b>(US Letter) x 1-200<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Размери 540 <б стил = "цвят: червен;"> т </ б> (A4) | ​​562 <б стил = "цвят: червен;"> т </ б> (US Letter) х 1-200 <б стил = "цвят: червен;"> т </ B> @ 300dpi: разделителна <б> и </ B> непрозрачен .png"
"Dispatch Date?","Дата на изпращане?"
"Don't count these custom option SKUs :","Не разчитайте на тези обичай опция ИЕ:"
"Double-line spacing?","Double-разстояние между редовете?"
"Double-up this barcode?","Удвояване този баркод?"
"Drink Flag","Пийте Flag"
"E: ","Е:"
"Eg. nudge it up off integrated labels","Напр. го побутнете до изключване интегрирани етикети"
"eg. put 'wholesale', then only wholesale customers will see 'Message B'","напр. сложи "на едро", а след това само клиенти на едро, ще видят "Message B""
"eg. put your country, then only overseas orders will have country added","напр. сложи си страна, добавя след това само задгранични поръчки ще имат държава"
"Eg. shelving info","Напр. стелажи инфо"
"Email: Body","Email: Body"
"Email: Send To","Email: Изпрати на"
"Email: Sender","Email: Sender"
"Email: Subject","Email: Тема"
"Enable auto processing?","Активиране на автоматичното обработване?"
"Enter your license key here","Въведете своя лицензен ключ тук"
"Exactly position shipping detail (eg. for envelope window)","Точно позиция корабоплаването подробности (напр. За прозорец плик)"
"Exactly position top address (eg. for envelope window)","Точно позиционирате горния адрес (напр. За прозорец плик)"
"Export","износ"
"Export: Path","Износ: Path"
"Extra attribute position","Екстра позиция атрибут"
"F: ","F:"
"File Path","File Path"
"Fill Bars?","Напълнете Барове?"
"Fill bkg comments box ?","Напълнете BKG коментари кутия?"
"Fill columns titlebar?","Напълнете колони заглавна лента?"
"Filter again?","Филтър отново?"
"Filter by supplier?","Филтър по доставчика?"
"Filter items again?","Филтър позиции отново?"
"Filter items by status?","Филтриране на статии по статус?"
"Filter items?","Филтър елементи?"
"Filter order notes?","Филтър за поръчки бележки?"
"Filter out some options?","Филтриране на някои опции?"
"Filter out some?","Филтриране на някои?"
"Filter out these attributes","Филтриране на тези атрибути"
"Filter out these custom option SKUs :","Филтриране на тези обичай опция ИЕ:"
"Filter shipped items?","Филтър превозват предмети?"
"Filter text","Филтър текст"
"Filter text (don't show notes containg this text)","Филтър текст (не показват бележки containg този текст)"
"Filter?","Филтър?"
"Filter/Split which PDFs?","Филтър / Сплит, който PDF файлове?"
"Filters: Order-separated PDFs, Order-combined PDFs","Филтри: Поръчка разделени на PDF файлове, Поръчка-комбинират PDF файлове"
"First Name","Първо име"
"First order starts at","Първи ред започва от"
"Fix Subtotals to page base","Fix междинните суми към страницата база"
"Flat-address font size","размер Flat-адрес на шрифта"
"Font","Font"
"Font size","Размер на шрифта"
"Font size (Product Lines)","Размер на шрифта (продуктови линии)"
"Font size (Return address)","Размер на шрифта (Return адрес)"
"Font size (Shipping address)","Размер на шрифта (на адреса за доставка)"
"For all customer group types","За всички видове група клиенти"
"For any customer group containing filter word","За всяка група клиенти, съдържащ филтър дума"
"For configurable products, show:","За конфигурируеми продукти, шоу:"
"For custom minimum stock levels for specific SKUs, set like this:","За потребителски нива минимални запаси за конкретни ИЕ, определени по този начин:"
"For full-page sharp backgrounds, upload images with dimensions  595<b style="color:red;">pt</b> x 842<b style="color:red;">pt</b> (A4), or 612<b style="color:red;">pt</b> x 792<b style="color:red;">pt</b> (Letter)","За цяла страница остри фонове, качване на снимки с размери 595 <б стил = "цвят: червен;"> т </ б> х 842 <б стил = "цвят: червен;"> т </ б> (A4), или 612 <б стил = "цвят: червен;"> т </ б> х 792 <б стил = "цвят: червен;"> т </ б> (Letter)"
"For Internal Print Flags use "0" to avoid duplicate printing","За вътрешните Flags Print използва "0", за да се избегне дублиране на печат"
"Force gift message font?","подарък Force съобщение на шрифта?"
"Format product options?","опции Формат продукт?"
"Format product?","Формат продукт?"
"FTP host","FTP хост"
"FTP password","FTP паролата"
"FTP port","FTP порт"
"FTP remote path","FTP дистанционно път"
"FTP user","FTP потребител"
"Full height of each label (default 168pt)","Пълна височина на всеки етикет (по подразбиране 168pt)"
"Full height of each label (default 432pt)","Пълна височина на всеки етикет (по подразбиране 432pt)"
"Full Page Width","Пълен Page Width"
"Full width of each label (default 190pt)","Пълен ширина на всеки етикет (по подразбиране 190pt)"
"Full width of each label (default 288pt)","Пълен ширина на всеки етикет (по подразбиране 288pt)"
"Gallery Images (Max 2)","Галерия Снимки (Max 2)"
"General : CSV","Обща: CSV"
"General : PDF","Обща: PDF"
"General Options","Общи опции"
"Germany CN22 Label Image","Германия CN22 Label Изображение"
"Gift card","Карта за подарък"
"Gift message","Подарък съобщение"
"Gift Message : Background Color","Подарък Съобщение: Цвят на фона"
"Gift Message : Color","Подарък Съобщение: Color"
"Gift Message : Font","Подарък Съобщение: Font"
"Gift Message : Size","Подарък Съобщение: Размер"
"Gift Message : Style","Подарък Съобщение: Style"
"Gift wrap","Опаковъчна хартия"
"Goes at page base - good for integrated labels","Отива в страницата база - добър за интегрирани етикети"
"Goes at page base - handy for QC","Отива в страницата база - удобен за QC"
"Goes on the right of the header logo","Отива в дясно на логото на хедър"
"Goes on the top-left of the page","Отива в горния ляв ъгъл на страницата"
"Good for 3-part integrated labels, eg. for peel-off address records","Добре е за 3-месечните интегрирани етикети, напр. за кори излитане адресни регистри"
"Good for a footer image","Добре е за един образ долния"
"Good for integrated labels","Добре е за интегрирани етикети"
"Good for tax numbers, return instructions","Добре е за данъчни номера, инструкции за връщане"
"Good for things like tear-off labels, or adding to the return address abel to make it a 'Returns Label'","Добре е за неща като отчупване етикети или добавяне на обратен адрес Авел да го "Връща Label" правят"
"Grand Total (from Magento)?","Grand Total (от Magento)?"
"Grey out products from other suppliers","Сивите място продукти от други доставчици"
"Group by Category?","Група от категория?"
"Group With Other Prints","Група С Други Prints"
"Header logo","Header лого"
"Hide if gift order?","Скриване ако цел подарък?"
"Hide prices if a gift order?","Скриване на цените Ако решението за подарък?"
"Hide product option labels?","опционни Hide продукт етикети?"
"Hide products from other suppliers","Скриване на продукти от други доставчици"
"Hide Shipping Method for Store-Pickup orders?","Скриване на доставка Начин на съхранение-Pickup поръчки?"
"Hide supplier attribute column?","Hide доставчика атрибут колона?"
"Hide these groups :","Скриване на тези групи:"
"Hide this 'country name'","Скриване на тази "име на държава""
"Hide this 'country name' :","Скриване на тази "име на държава":"
"Hide this' country name' :","Скриване на тази "име на държава":"
"Hide Virtual and Downloadable products from PDFs?","Скриване на виртуални и сваляне продукти от PDF файлове?"
"Hide zero discount value?","Скриване на нула отстъпка стойност?"
"Hide zero shipping value?","Скриване на нулева стойност на пратката?"
"Hide zero tax value?","Скриване на нулев данък стойност?"
"High-res","С висока резолюция"
"high-res/low-res?","висока резолюция / ниска резолюция?"
"High/Low Resolution?","Висока / Ниска резолюция?"
"Hold?","Задръжте?"
"Holland CN22 Label Image","Холандия CN22 Label Изображение"
"Horizontal bars : Background Color","Лост: Цвят на фона"
"Ie. if you want them listed together and not in separate columns","Т.е.. ако искате да ги изброени заедно, а не в отделни колони"
"If 'Yes' this won't include items which have been marked as shipped.","Ако "Да", това няма да включва елементи, които са били маркирани като доставя."
"If child image missing, show parent?","Ако детето изображение липсва, показват родител?"
"If set to Yes, after an order has been printed, you can only re-print it from inside the Order Detail page.<br />The aim is to avoid shipping the same order multiple times by mistake.","Ако изберете Да, след като поръчката е отпечатан, можете само да го ре-печат от вътре страницата Поръчка Подробности. <br /> Целта е да се избегне корабоплаването същия ред, няколко пъти по погрешка."
"If supplier 'logged in', do what with other suppliers products?","Ако доставчика "влезли в", направи това, което с други доставчици продукти?"
"If you get long addresses that spill over the edge of your label, set this number to force a linebreak","Ако получите дълги адреси, които са разпръснати над ръба на етикета си, определя този брой да се принуди LINEBREAK"
"If you ship a lot of single items, this can help alert your shipping staff that","Ако кораб много единични бройки, това може да помогне предупреди вашия персонал корабоплаването, че"
"If you ship a lot of single items, this can help alert your shipping staff that there's more than one!","Ако кораб много единични бройки, това може да помогне предупреди вашия персонал корабоплаването, че има повече от един!"
"If you're using shipEasy, and have setup any of the 3 custom flag columns, you can show the value.","Ако използвате shipEasy, и има настройка някоя от колоните с 3 потребителски флагове, можете да покажете стойността."
"Image behind return address?","Изображение зад обратен адрес?"
"Image behind ship address?","Изображение зад кораб адрес?"
"Image border color","граница на снимката цвят"
"Image file","файл Изображение"
"Image nudge","побутване Изображение"
"Image position nudge","Позиция на изображението побутване"
"Images column title","заглавие Images колона"
"Import","внос"
"In positionable box (handy for tear-off labels)","В позиционират кутия (удобен за отчупване етикети)"
"Incl.","Вкл."
"Include customer phone in addresses?","Включване на телефона на клиента в адреси?"
"Include discount?","Включи отстъпка?"
"Include discounts in product line price","Включи отстъпки в съответствие цена на продукта"
"Include Order ID in filename for single page print?","Включи Поръчка ID в името на файла за една страница на печат?"
"Include Order ID in filename for single page prints?","Включи Поръчка ID в името на файла за единични щампи страница?"
"Include order notes?","Включи бележки поръчка?"
"Include shipping country in addresses?","Включва доставянето страна в адреси?"
"Include tax in 'Shipping'?","Включи данък в "Доставка"?"
"Include Tax in Price?","Включи Tax в цената?"
"Include Tax in Shipping Price?","Включи Tax в Проверете цената?"
"Include tax in value?","Включи данък в стойност?"
"Include tax?","Включи данък?"
"Installation Server","Монтаж Сървър"
"Invert some of the title colors...","Обръщане на някои от цветовете на заглавието ..."
"Invoice Address","Адрес на фактура"
"Invoice Date","Датата на фактурата"
"Invoice ID?","Фактура ID?"
"Invoice Number","Номер на фактура"
"Invoice Options","Опции за фактура"
"Invoiced Date","по фактура Дата"
"Is this included in the Subtotal?","Това включва в междинната сума?"
"Italic","италийски"
"Item Count","точка Count"
"Items column title","Предмети заглавие колона"
"Items count?","Предмети разчитат?"
"Label","етикет"
"Label height","височина Label"
"Label margins","маржовете на етикета"
"Label Nudge","побутване Label"
"Label padding","подложка Label"
"Label width","ширина Label"
"Layout template","Разпределение шаблон"
"License","Разрешително"
"License Key","Лицензионен ключ"
"Line above fixed footer image?","Линия над определен образ долния?"
"Line widths","ширини Line"
"Lock image to page base?","Заключване на изображението на страница база?"
"Logo position","Logo позиция"
"Low-res","Ниска резолюция"
"Magento Order ID","Magento Поръчка ID"
"Main Image","Главна Изображение"
"Makes gift orders a bit happier-looking by adding a special image on the message box.","Прави подарък поръчки е малко по-щастливи бъдещето чрез добавяне на специална снимка на кутията със съобщения."
"Manual description 1","Ръчно описание 1"
"Margin (from right)","Margin (от дясно)"
"Margin (from right) for flat-address","Margin (от дясно) за плосък адрес"
"Marketplace Order ID","Marketplace Поръчка ID"
"Match shipping description :","Съвпадение корабоплаването описание:"
"Match text:","Съвпадение текст:"
"Max address width (pt)","ширина Max адрес (PT)"
"Max dimensions","Макс размери"
"Max weight per box","Макс тегло на кутия"
"Max width","Max ширина"
"Messages","Съобщения"
"Middle of page","Близък на страница"
"Min. weight to hide shipment method and put 'Pallet'","Мин. тегло, за да се скрие метод пратка и сложи "Палет""
"Minimum stock qty","Минимална наличност Брой"
"Moogento","Moogento"
"Moogento pickPack","Moogento pickPack"
"Moogento pickPack : CSV (Order-combined Products)","Moogento pickPack: CSV (Поръчка-комбинирани продукти)"
"Moogento pickPack : CSV (Order-separated Products)","Moogento pickPack: CSV (Поръчка разделени Продукти)"
"Moogento pickPack : CSV (Orders)","Moogento pickPack: CSV (поръчки)"
"Moogento pickPack : CSV/XML (Cargo Manifest)","Moogento pickPack: CSV / XML (Cargo Manifest)"
"Moogento pickPack : PDF (Address Labels)","Moogento pickPack: PDF (етикети с адреси)"
"Moogento pickPack : PDF (CN22 Labels)","Moogento pickPack: PDF (CN22 Labels)"
"Moogento pickPack : PDF (Gift Message)","Moogento pickPack: PDF (Gift ЛС)"
"Moogento pickPack : PDF (Invoice and Packing Sheet)","Moogento pickPack: PDF (фактура и опаковане Sheet)"
"Moogento pickPack : PDF (Invoice)","Moogento pickPack: PDF (фактура)"
"Moogento pickPack : PDF (Order-combined Picklist)","Moogento pickPack: PDF (Поръчка-комбинирана Picklist)"
"Moogento pickPack : PDF (Order-separated Picklist)","Moogento pickPack: PDF (Поръчка разделени Picklist)"
"Moogento pickPack : PDF (Orders Summary)","Moogento pickPack: PDF (Поръчки Обобщение)"
"Moogento pickPack : PDF (Packing Sheet)","Moogento pickPack: PDF (Опаковка Sheet)"
"Moogento pickPack : PDF (Product-separated Picklist)","Moogento pickPack: PDF (Каталог разделени Picklist)"
"Moogento pickPack : PDF (Troylleybox Picklist)","Moogento pickPack: PDF (Troylleybox Picklist)"
"Moogento pickPack : PDF (Zebra Labels)","Moogento pickPack: PDF (Zebra Labels)"
"Moogento pickPack : PDF/CSV (Out-of-stock List)","Moogento pickPack: PDF / CSV (Out-на-склад Списък)"
"Multiplier Attribute","Multiplier Умение"
"Multiplies product price by set multiplication factor. Eg. use to show product price limit for substitutions in pick","Умножава продукт цена от набор умножение фактор. Напр. използвате, за да се покаже граница продукт цена за замествания в пикап"
"Multiplies product price by set multiplication factor.<br />Eg. use to show product price limit for substitutions in pick","Умножава продукт цена от набор умножение фактор. <br /> Напр. използвате, за да се покаже граница продукт цена за замествания в пикап"
"Multiply prices by attribute?","Умножете цени от атрибут?"
"Name from Order","Име от Поръчка"
"Name from Product > Default Store","Име от продуктите> Default Store"
"Name from Product > Order Store *Default*","Име от продуктите> Поръчка Store * По подразбиране *"
"Name from Product > Specific Store","Име от продуктите> специфичен магазин"
"New page per order?","Нова страница на поръчка?"
"New PDF per name?","New PDF на име?"
"No","Не"
"No (default)","Не (по подразбиране)"
"No of Items per page","Не на артикули на страница"
"No, include all items in order","Не, да включва всички елементи, с цел"
"No, include it in the product price","Не, включва го в цената на продукта"
"No, include it in the product price (but also show a tax subtotal summary)","Не, включва го в цената на продукта (но също така показват обобщение данък субтотална)"
"No, move other items to new line (+ keep linebreaks)","Не, се движат други предмети за нов ред (+ запази LINEBREAKS)"
"No, without Tax","Не, без Tax"
"None","Нито един"
"Normal' Dimensions:  269<b style="color:red;">pt</b> x 41<b style="color:red;">pt</b> @ 300dpi<br />","Нормалните "Размери: 269 <б стил =" цвят: червен; "> т </ б> х 41 <б стил =" цвят: червен; "> т </ B> @ 300dpi <br />"
"Not recommended... Use at your own risk...","Не се препоръчва ... Използвайте на свой собствен риск ..."
"Nudge","бутане"
"Nudge 'Packed 2 by' note","Побутване "Опаковал 2 от" забележка"
"Nudge 'Packed by' text","Избутване "Опаковал от" текст"
"Nudge <b>autoCN22</b> label","Избутване <б> autoCN22 </ б> етикет"
"Nudge 2nd address","Избутване 2-ри адрес"
"Nudge 2nd barcode","Избутване 2-ри баркод"
"Nudge 2nd custom title","Избутване 2-ри обичай заглавие"
"Nudge 2nd image","Избутване 2-ри изображение"
"Nudge address","побутване адрес"
"Nudge background image","Побутване фоново изображение"
"Nudge barcode","Избутване баркод"
"Nudge CN22 label","Избутване етикет CN22"
"Nudge company address","Побутване адрес на фирмата"
"Nudge details","Избутване детайли"
"Nudge entire label","Избутване целия етикет"
"Nudge fixed image","Избутване фиксиран образ"
"Nudge flat-address","Избутване плосък адрес"
"Nudge gift message","Побутване съобщение подарък"
"Nudge image","Избутване на изображението"
"Nudge label image","Избутване на изображението етикет"
"Nudge logo","побутване лого"
"Nudge Order ID","Избутване Поръчка ID"
"Nudge Order ID barcode","Избутване Поръчка ID баркод"
"Nudge order notes","Избутване бележки поръчка"
"Nudge product line","Побутване продуктова линия"
"Nudge qr-code (1)","Избутване QR-код (1)"
"Nudge qr-code (2)","Избутване QR-код (2)"
"Nudge return address","Побутване обратен адрес"
"Nudge return label","Побутване етикет връщане"
"Nudge Rotated Product List","Избутване Списък Rotated Каталог"
"Nudge shelving","Избутване стелажи"
"Nudge shipping address","Избутване адрес за доставка"
"Nudge shipping address only","Избутване само адрес за доставка"
"Nudge supplier attribute","Побутване доставчика атрибут"
"Nudge title","Избутване заглавие"
"Nudge tracking barcode","Избутване проследяване баркод"
"Nudge tracking number","Избутване номер за проследяване"
"Nudge Zipcode barcode","Избутване Пощенски Код баркод"
"Nudge' Packed by' note","Избутване "Опаковал от" забележка"
"Number product list?","списък Брой продукт?"
"Only print once?","Само отпечатате веднъж?"
"Only process orders matching shipEasy attribute?","Само технологични поръчки съвпадение shipEasy атрибут?"
"Operand?","Операнд?"
"Order Attribute","Поръчка Умение"
"Order attribute code","Поръчка атрибут код"
"Order attribute code:","Поръчка атрибут код:"
"Order Attribute Value","Поръчка на стойност за атрибута"
"Order Comments","Поръчайте Коментари"
"Order custom attribute?","Поръчайте персонализирани атрибути?"
"Order date","Дата на поръчка"
"Order date X-pos.","Дата на поръчката X-поз."
"Order Date?","Дата на поръчка?"
"Order ID (Footer) X-pos.","Поръчка ID (Footer) X-поз."
"Order ID X-pos.","Поръчка ID X-поз."
"Order ID?","Поръчка ID?"
"Order of subtotals","Поръчка на междинни суми"
"Order Source","Поръчка Източник"
"Order Source?","Поръчайте Източник?"
"Order-combined Pick List Options","Поръчка-комбинирана Options Pick Списък"
"Order-separated Pick List Options","Поръчка, разделени Options Pick Списък"
"Orders with In Stock Items Only","Поръчки с е в наличност продукти Само"
"Others?","Други?"
"Output as PDF or CSV?","Output като PDF или CSV?"
"Output Excel XML file (instead of CSV)","Output Excel XML файл (вместо CSV)"
"Output Filenames","Output Имената на файловете"
"Output only these suppliers (Hide/Grey-out others)","Извежда само тези доставчици (Hide / Grey-освобождава други)"
"Output only this supplier (Hide/Grey-out others) . . . Leave blank to auto-split all suppliers","Output само този доставчика (Скрий / Grey-вън други). , , Оставете празно за автоматично разделяне на всички доставчици"
"Override 'Minimum stock qty'","Замяна на "Минимална наличност Количество""
"Override default address formatting?","Замяна на адрес форматиране по подразбиране?"
"Override default address layout?","Замяна подразбиране адрес оформление?"
"Override filter notes messages","Замяна на филтър отбелязва съобщения"
"Override stock qty output with location-specific stock?","Замяна наличност Брой изход с конкретно местоположение, склад?"
"Override' Minimum stock qty'","Замяна на "Минимална наличност Количество""
"Packing  Sheet Products : Separating Vertical Line Color","Мокър чаршаф Продукти: Разделянето Vertical Line Color"
"Packing Sheet Options","Опции мокър чаршаф"
"Packing Sheet Products : Separating Line Color","Мокър чаршаф Продукти: Разделянето Line Color"
"Packing Sheet Products : Separating Vertical Line Color","Мокър чаршаф Продукти: Разделянето Vertical Line Color"
"Padding","подложка"
"Page 1 Product-lines cutoff Y-pos","Page 1 Product линии изключване Y-поз"
"Page 1 products cutoff position","Page 1 продукти граничната позиция"
"Page Body : Color","Page тялото: Color"
"Page Body : Font","Page тялото: Font"
"Page Body : Size","Page тялото: Размер"
"Page Body : Style","Page тялото: Style"
"Page padding","Page подложка"
"page padding","страница подложка"
"Page size","размер Page"
"Page template :","Page шаблон:"
"Page title : Color","Заглавие на страницата: Color"
"Page title : Font","Заглавие на страницата: Font"
"Page title : Size","Заглавие на страницата: Размер"
"Page title : Style","Заглавие на страницата: Style"
"Paid Date","Платено Дата"
"Paid Date?","Платено Дата?"
"Pallet 'go' weight","Палет "отиде" тегло"
"Pallet' go' weight","Палет "отиде" тегло"
"Paper height","височина на хартията"
"Paper margins","маржовете на хартия"
"Partially: lines top & bottom","Частична: линии в началото & дъно"
"Pattern text","Pattern текст"
"Pattern to match :","Pattern да съвпадат:"
"Payment","плащане"
"Payment method?","Начин на плащане?"
"PDF (Address Labels)","PDF (етикети с адреси)"
"PDF (Address Labels)?","PDF (етикети с адреси)?"
"PDF (CN22 Labels)","PDF (CN22 Labels)"
"PDF (CN22 Labels)?","PDF (CN22 етикети)?"
"PDF (Gift Message)","PDF (Gift ЛС)"
"PDF (Gift Message)?","PDF (Gift ЛС)?"
"PDF (Invoice & Packing Sheet)","PDF (Invoice & Опаковка Sheet)"
"PDF (Invoice and Packing Sheet)?","PDF (фактура и опаковане Sheet)?"
"PDF (Invoice)","PDF (фактура)"
"PDF (Invoice)?","PDF (фактура)?"
"PDF (Order-combined Picklist)","PDF (Поръчка-комбинирана Picklist)"
"PDF (Order-combined Picklist)?","PDF (Поръчка-комбинирана Picklist)?"
"PDF (Order-separated Picklist)","PDF (Поръчка разделени Picklist)"
"PDF (Order-separated Picklist)?","PDF (Поръчка разделени Picklist)?"
"PDF (Orders Summary)","PDF (Поръчки Обобщение)"
"PDF (Orders Summary)?","PDF (Поръчки Обобщение)?"
"PDF (Out-of-stock List)","PDF (Out-на-склад Списък)"
"PDF (Out-of-stock List)?","PDF (Out-на-склад Списък)?"
"PDF (Packing Sheet)","PDF (Опаковка Sheet)"
"PDF (Packing Sheet)?","PDF (Опаковка Sheet)?"
"PDF (Product-separated Picklist)","PDF (Каталог разделени Picklist)"
"PDF (Product-separated Picklist)?","PDF (Каталог разделени Picklist)?"
"PDF (Trolleybox Picklist)","PDF (Trolleybox Picklist)"
"PDF (Trolleybox Picklist)?","PDF (Trolleybox Picklist)?"
"PDF (Zebra Labels)","PDF (Zebra Labels)"
"PDF (Zebra Labels)?","PDF (Zebra етикети)?"
"PDF Address-label Sheet","PDF Адрес етикет Sheet"
"PDF Gift Message","PDF подарък Съобщение"
"PDF Invoice","PDF Invoice"
"PDF Invoice &amp; Packing Sheet' Sort","PDF Invoice & усилвател; Опаковка Sheet "Сортиране"
"PDF Letter","PDF Letter"
"PDF Order-combined Picklist","PDF Поръчка-комбинирана Picklist"
"PDF Order-separated Picklist","PDF Поръчка разделени Picklist"
"PDF Orders Summary","PDF Поръчки Резюме"
"PDF Packing Sheet","PDF Опаковка Sheet"
"PDF Packing Sheet + Invoice","PDF Опаковка Sheet + фактура"
"PDF page size","размер PDF страница"
"PDF Product-separated Picklist","PDF Каталог разделени Picklist"
"PDF Zebra Label","PDF Zebra Label"
"PDF/CSV (Out-of-stock List)","PDF / CSV (Out-на-склад Списък)"
"PDF/CSV Out-of-stock List","PDF / CSV Out-на-склад Списък"
"PDF/CSV Out-of-stock List Options","PDF / CSV извън склад Options Списък"
"Pick Lists only","Вземете само списъци"
"pickPack","pickPack"
"pickPack Validation Key","pickPack Validation Key"
"Pickup Date","Pickup Дата"
"Pickup Store Address","Pickup Адрес на магазина"
"Pickup Store Email","Pickup Store Email"
"Pickup Store ID","Pickup Store ID"
"Pickup Store Phone","Pickup Store Phone"
"Pickup Time","Pickup Time"
"Position","позиция"
"Position custom text box","Позиция текстово поле обичай"
"Position of custom attributes","Позиция на персонализирани атрибути"
"Position of notes :","Позиция на бележки:"
"Position of shelving info","Позиция на стелажи инфо"
"Position the addresses exactly - for integrated labels","Разположете адресите точно - за интегрирани етикети"
"Position the message box exactly","Поставете кутията със съобщения точно"
"Positionable box position","Позициониране позиция кутия"
"Pre-cells","Предварителни клетки"
"Price column title","Цена заглавие колона"
"Price position","Цена позиция"
"Price X-pos.","Цена X-поз."
"Prices","Цени"
"Prices converted from","Цени превръща от"
"Print All?","Отпечатате всички?"
