"'Allowance' column title","título da coluna 'Provisão'"
"Default: 2<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","Padrão: 2 <br /> Eg. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21,67; @ -1 = 20"
"Default: 200","Padrão: 200"
"Default: 22pt (top/bottom), 30pt (left/right)","Padrão: 22pt (superior / inferior), 30pt (esquerda / direita)"
"Default: 25","Padrão: 25"
"Default: 25 -->","Padrão: 25 ->"
"Default: 25, 25 (can leave one blank)","Padrão: 25, 25 (pode deixar um espaço em branco)"
"Default: 250","Padrão: 250"
"Default: 250, 100. Need to select [Yes] on "Show order gift message" or "Show product gift message".","Padrão: 250, 100. É preciso selecionar [Sim] em "mensagem Mostrar presente ordem" ou "mensagem Gift Show do produto"."
"Default: 250, 100. Need to select yes on "Show order gift message" or "Show product gift message"","Padrão: 250, 100. É preciso selecionar sim em "mensagem Mostrar presente ordem" ou "mensagem de presente do produto Show""
"Default: 250x182","Padrão: 250x182"
"Default: 3","Padrão: 3"
"Default: 350","Padrão: 350"
"Default: 380","Padrão: 380"
"Default: 40","Padrão: 40"
"Default: 400","Padrão: 400"
"Default: 420","Padrão: 420"
"Default: 450","Padrão: 450"
"Default: 460","Padrão: 460"
"Default: 475","Padrão: 475"
"Default: 480","Padrão: 480"
"Default: 50","Padrão: 50"
"Default: 500","Padrão: 500"
"Default: 520","Padrão: 520"
"Default: 5pt (top/bottom), 5pt (left/right)","Padrão: 5pt (superior / inferior), 5pt (esquerda / direita)"
"Default: 5pt/5pt (top/bottom), 5pt/5pt (left/right)","Padrão: 5pt / 5pt (superior / inferior), 5pt / 5pt (esquerda / direita)"
"Default: 67","Padrão: 67"
"Default: 8","Padrão: 8"
"Default: 80","Padrão: 80"
"Default: backordered","Padrão: backordered"
"Default: Bold","Padrão: Negrito"
"Default: center","Padrão: Centro"
"Default: Code128","Padrão: Code128"
"Default: codes","Padrão: códigos"
"Default: Empty","Padrão: Vazio"
"Default: Grand Total","Padrão: Total geral"
"Default: ID","Padrão: ID"
"Default: ID -->","Padrão: ID ->"
"Default: invoice_","Padrão: invoice_"
"Default: invoice+packing-sheet_","Padrão: factura + packing-sheet_"
"Default: items","Padrão: itens"
"Default: Left (if right, turn off barcodes, addresses; if full-width no company","Padrão: Esquerda (se direita, desligue códigos de barras, endereços, se toda a largura nenhuma empresa"
"Default: M j, Y . Format this according to www.php.net/date","Padrão: M j, Y. Formatar este acordo com www.php.net/date"
"Default: Method B","Padrão: Método B"
"Default: name","Padrão: nome"
"Default: order-combined_","Padrão: fim-combined_"
"Default: order-separated_","Padrão: fim-separated_"
"Default: out-of-stock-list_","Padrão: out-of-stock-list_"
"Default: packing-sheet_","Padrão: packing-sheet_"
"Default: Phone","Padrão: Telefone"
"Default: Phone -->","Padrão: Telefone ->"
"Default: product-separated_","Padrão: produto de separated_"
"Default: pt (top/bottom), pt (left/right)","Padrão: pt (superior / inferior), pt (esquerda / direita)"
"Default: Qty","Padrão: Quantidade"
"Default: Qty -->","Padrão: Quantidade ->"
"Default: Ship to:","Padrão: Enviar para:"
"Default: Shipping","Padrão: Envio"
"Default: Simple product name","Padrão: nome do produto Simples"
"Default: Source","Padrão: Fonte"
"Default: Subtotal","Padrão: Subtotal"
"Default: tax","Padrão: imposto"
"Default: total","Padrão: Total"
"Default: USD","Padrão: USD"
"Default: VAT Rateable","Padrão: IVA tributáveis"
"Default: warehouse","Padrão: armazém"
"Default: Y_m_d . Format this according to www.php.net/date","Padrão: Y_m_d. Formatar este acordo com www.php.net/date"
"Default: Zero-rated","Padrão: Zero-rated"
"Default:7","Padrão: 7"
"Default: No","Padrão: Não"
"Default: Yes","Padrão: Sim"
"Depends on your stock management system","Depende do seu sistema de gerenciamento de estoque"
"Descending","descendente"
"Detailed CC info?","Informação detalhada CC?"
"Dimensions","dimensões"
"Dimensions : 'Label width' x 'Label height' @ 300dpi : non-interlaced and non-transparent .png","Dimensões: 'width Etiqueta' x 'altura Etiqueta' @ 300dpi: .png não entrelaçado e não-transparente"
"Dimensions 180<b style="color:red;">pt</b> x 120<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Dimensões 180 <b style = "color: red;"> pt </ b> x 120 <b style = "color: red;"> pt </ b> @ 300dpi: não entrelaçado <b> e </ b> .png não transparente"
"Dimensions 540<b style="color:red;">pt</b>(A4)|562<b style="color:red;">pt</b>(US Letter) x 1-200<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Dimensões 540 <b style = "color: red;"> pt </ b> (A4) | ​​562 <b style = "color: red;"> pt </ b> (Carta EUA) x 1-200 <b style = "color: red;"> pt </ b> @ 300dpi: não entrelaçado <b> e </ b> não transparente .png"
"Dispatch Date?","Data de expedição?"
"Don't count these custom option SKUs :","Não conte estes opção personalizada SKUs:"
"Double-line spacing?","espaçamento de linha dupla?"
"Double-up this barcode?","Duplo-up este código de barras?"
"Drink Flag","beber Bandeira"
"E: ","E:"
"Eg. nudge it up off integrated labels","Por exemplo. empurrá-lo até etiquetas off integrados"
"eg. put 'wholesale', then only wholesale customers will see 'Message B'","por exemplo. colocar 'atacado', em seguida, apenas os clientes de atacado verá 'Mensagem B'"
"eg. put your country, then only overseas orders will have country added","por exemplo. colocar o seu país, então apenas encomendas no exterior terão país adicionada"
"Eg. shelving info","Por exemplo. Informação estantes"
"Email: Body","E-mail: Body"
"Email: Send To","E-mail: Enviar para"
"Email: Sender","E-mail: Remetente"
"Email: Subject","Assunto do email"
"Enable auto processing?","Permitir o processamento automático?"
"Enter your license key here","Digite sua chave de licença aqui"
"Exactly position shipping detail (eg. for envelope window)","Exatamente detalhe do transporte posição (por exemplo. Para a janela envelope)"
"Exactly position top address (eg. for envelope window)","Exatamente endereço posição superior (por exemplo. Para a janela envelope)"
"Export","Exportar"
"Export: Path","Exportação: Path"
"Extra attribute position","posição atributo extra"
"F: ","F:"
"File Path","Caminho de arquivo"
"Fill Bars?","Preencha Barras?"
"Fill bkg comments box ?","Encher a caixa comentários bkg?"
"Fill columns titlebar?","Preencha colunas da barra de título?"
"Filter again?","Filtra-se novamente?"
"Filter by supplier?","Filtrar por fornecedor?"
"Filter items again?","Filtrar itens de novo?"
"Filter items by status?","Filtrar itens por status?"
"Filter items?","Filtrar itens?"
"Filter order notes?","notas de encomenda filtro?"
"Filter out some options?","Filtrar algumas opções?"
"Filter out some?","Filtrar alguns?"
"Filter out these attributes","Filtrar esses atributos"
"Filter out these custom option SKUs :","Filtrar esses SKUs de opção personalizado:"
"Filter shipped items?","Filtrar itens enviados?"
"Filter text","texto do filtro"
"Filter text (don't show notes containg this text)","texto do filtro (não mostrar notas containg este texto)"
"Filter?","Filtro?"
"Filter/Split which PDFs?","Filtro / Dividir que PDFs?"
"Filters: Order-separated PDFs, Order-combined PDFs","Filtros: PDFs separados por Ordem, PDFs Order-combinados"
"First Name","Primeiro nome"
"First order starts at","Em primeiro lugar começa no fim"
"Fix Subtotals to page base","Fix Subtotals a base de página"
"Flat-address font size","tamanho da fonte endereço plana"
"Font","Fonte"
"Font size","Tamanho da fonte"
"Font size (Product Lines)","Tamanho da fonte (Linhas de Produto)"
"Font size (Return address)","Tamanho da fonte (endereço de retorno)"
"Font size (Shipping address)","Tamanho da fonte (endereço)"
"For all customer group types","Para todos os tipos de grupos de clientes"
"For any customer group containing filter word","Para qualquer palavra filtro de grupo de clientes contendo"
"For configurable products, show:","Para produtos configuráveis, show:"
"For custom minimum stock levels for specific SKUs, set like this:","Para personalizados níveis de estoque mínimo para SKUs específicos, definidos como este:"
"For full-page sharp backgrounds, upload images with dimensions  595<b style="color:red;">pt</b> x 842<b style="color:red;">pt</b> (A4), or 612<b style="color:red;">pt</b> x 792<b style="color:red;">pt</b> (Letter)","Para de página inteira fundos afiados, fazer upload de imagens com dimensões de 595 <b style = "color: red;"> pt </ b> x 842 <b style = "color: red;"> pt </ b> (A4), ou 612 <b style = "color: red;"> pt </ b> x 792 <b style = "color: red;"> pt </ b> (Letter)"
"For Internal Print Flags use "0" to avoid duplicate printing","Para Flags Impressão Internos usar "0" para evitar imprimir duplicado"
"Force gift message font?","dom Força font mensagem?"
"Format product options?","opções de produtos formato?"
"Format product?","produto formato?"
"FTP host","host FTP"
"FTP password","password FTP"
"FTP port","porta FTP"
"FTP remote path","caminho remoto FTP"
"FTP user","usuário FTP"
"Full height of each label (default 168pt)","altura máxima de cada etiqueta (168pt padrão)"
"Full height of each label (default 432pt)","altura máxima de cada etiqueta (432pt padrão)"
"Full Page Width","Largura Página Inteira"
"Full width of each label (default 190pt)","largura de cada etiqueta (190pt padrão)"
"Full width of each label (default 288pt)","largura de cada etiqueta (288pt padrão)"
"Gallery Images (Max 2)","Galeria de Imagens (Max 2)"
"General : CSV","Geral: CSV"
"General : PDF","Geral: PDF"
"General Options","Opções gerais"
"Germany CN22 Label Image","Alemanha CN22 etiqueta Imagem"
"Gift card","Cartão Presente"
"Gift message","mensagem de presente"
"Gift Message : Background Color","Mensagem dom: Cor de fundo"
"Gift Message : Color","Mensagem de presente: cores"
"Gift Message : Font","Mensagem dom: Font"
"Gift Message : Size","Mensagem de presente: Tamanho"
"Gift Message : Style","Mensagem dom: Estilo"
"Gift wrap","envoltório de presente"
"Goes at page base - good for integrated labels","Vai na base da página - bom para rótulos integrados"
"Goes at page base - handy for QC","Vai na base da página - útil para QC"
"Goes on the right of the header logo","Vai para a direita do logotipo do cabeçalho"
"Goes on the top-left of the page","Vai no canto superior esquerdo da página"
"Good for 3-part integrated labels, eg. for peel-off address records","Bom para rótulos integrados 3-parte, por exemplo. para registros de endereços casca-off"
"Good for a footer image","Bom para uma imagem de rodapé"
"Good for integrated labels","Bom para rótulos integrados"
"Good for tax numbers, return instructions","Bom para os números fiscais, as instruções de retorno"
"Good for things like tear-off labels, or adding to the return address abel to make it a 'Returns Label'","Bom para coisas como etiquetas de corte, ou adicionando ao abel endereço de retorno para torná-lo um "Retorna Etiqueta '"
"Grand Total (from Magento)?","Total geral (de Magento)?"
"Grey out products from other suppliers","produtos de cinza a partir de outros fornecedores"
"Group by Category?","Grupo por categoria?"
"Group With Other Prints","Grupo com outras Prints"
"Header logo","logotipo do cabeçalho"
"Hide if gift order?","Esconder se a ordem de presente?"
"Hide prices if a gift order?","Esconder preços se uma ordem de presente?"
"Hide product option labels?","etiquetas opção de produto esconder?"
"Hide products from other suppliers","Ocultar produtos de outros fornecedores"
"Hide Shipping Method for Store-Pickup orders?","Esconder método de transporte para ordens da Loja-recolhimento?"
"Hide supplier attribute column?","Esconder fornecedor coluna de atributo?"
"Hide these groups :","Ocultar esses grupos:"
"Hide this 'country name'","Ocultar este 'nome do país'"
"Hide this 'country name' :","Ocultar este 'nome do país ":"
"Hide this' country name' :","Ocultar este 'nome do país ":"
"Hide Virtual and Downloadable products from PDFs?","Esconder produtos virtuais e download de PDFs?"
"Hide zero discount value?","Esconder valor do desconto de zero?"
"Hide zero shipping value?","Esconder valor transporte de zero?"
"Hide zero tax value?","Esconder imposto sobre o valor de zero?"
"High-res","Alta resolução"
"high-res/low-res?","alto-res / Low-Res?"
"High/Low Resolution?","Alta Baixa Resolução /?"
"Hold?","Aguarde?"
"Holland CN22 Label Image","Holland CN22 etiqueta Imagem"
"Horizontal bars : Background Color","barras horizontais: Cor de fundo"
"Ie. if you want them listed together and not in separate columns","Ie. se você quer que eles listados em conjunto e não em colunas separadas"
"If 'Yes' this won't include items which have been marked as shipped.","Se "Sim" isso não vai incluir itens que foram marcados como enviado."
"If child image missing, show parent?","Se a imagem de criança desaparecida, mostram pai?"
"If set to Yes, after an order has been printed, you can only re-print it from inside the Order Detail page.<br />The aim is to avoid shipping the same order multiple times by mistake.","Se definido como Sim, depois de uma ordem tenha sido impresso, você só pode voltar a imprimi-lo a partir de dentro da página Ordem Detalhe. <br /> O objetivo é evitar o envio da mesma ordem várias vezes por engano."
"If supplier 'logged in', do what with other suppliers products?","Se o fornecedor 'logado', fazer o que com outros produtos de fornecedores?"
"If you get long addresses that spill over the edge of your label, set this number to force a linebreak","Se você receber longos endereços que derramam sobre a borda da sua etiqueta, defina este número para forçar uma quebra de linha"
"If you ship a lot of single items, this can help alert your shipping staff that","Se você enviar um lote de itens individuais, isso pode ajudar a alertar o pessoal de transporte que"
"If you ship a lot of single items, this can help alert your shipping staff that there's more than one!","Se você enviar um lote de itens individuais, isso pode ajudar a alertar o pessoal de transporte que não há mais do que uma!"
"If you're using shipEasy, and have setup any of the 3 custom flag columns, you can show the value.","Se você estiver usando shipEasy, e tem a configuração de qualquer uma das colunas bandeira 3 de costume, você pode mostrar o valor."
"Image behind return address?","Imagem por trás endereço de retorno?"
"Image behind ship address?","Imagem por trás endereço de navio?"
"Image border color","cor da borda imagem"
"Image file","Arquivo de imagem"
"Image nudge","Deslocar a imagem"
"Image position nudge","nudge posição da imagem"
"Images column title","título Imagens de coluna"
"Import","Importar"
"In positionable box (handy for tear-off labels)","Na caixa positionable (útil para rótulos destacáveis)"
"Incl.","Incl."
"Include customer phone in addresses?","Incluem telefone do cliente nos endereços?"
"Include discount?","Incluir desconto?"
"Include discounts in product line price","Incluem descontos no preço linha de produtos"
"Include Order ID in filename for single page print?","Incluir ID do pedido em nome de arquivo para impressão de uma única página?"
"Include Order ID in filename for single page prints?","Incluir ID do pedido em nome de arquivo para impressão da página de solteiro?"
"Include order notes?","Incluir notas de encomenda?"
"Include shipping country in addresses?","Incluir país de transportar, de endereços?"
"Include tax in 'Shipping'?","Incluem o imposto em 'envio'?"
"Include Tax in Price?","Incluir impostos no preço?"
"Include Tax in Shipping Price?","Incluir impostos no envio Price?"
"Include tax in value?","Incluem o imposto de valor?"
"Include tax?","Incluem o imposto?"
"Installation Server","instalação do Servidor"
"Invert some of the title colors...","Inverter algumas das cores título ..."
"Invoice Address","Endereço factura"
"Invoice Date","Data da fatura"
"Invoice ID?","ID factura?"
"Invoice Number","Número de fatura"
"Invoice Options","Opções de fatura"
"Invoiced Date","Data facturado"
"Is this included in the Subtotal?","É este incluída no subtotal?"
"Italic","itálico"
"Item Count","Contagem de itens"
"Items column title","título da coluna Items"
"Items count?","Itens contam?"
"Label","Rótulo"
"Label height","altura da etiqueta"
"Label margins","margens de etiqueta"
"Label Nudge","Nudge rótulo"
"Label padding","estofamento etiqueta"
"Label width","largura da etiqueta"
"Layout template","modelo de layout"
"License","Licença"
"License Key","Key License"
"Line above fixed footer image?","Linha de imagem rodapé fixo acima?"
"Line widths","larguras de linha"
"Lock image to page base?","Trave para base de página?"
"Logo position","Logo posição"
"Low-res","Baixa resolução"
"Magento Order ID","Magento Order ID"
"Main Image","imagem principal"
"Makes gift orders a bit happier-looking by adding a special image on the message box.","Faz pedidos de presente um pouco mais feliz com o futuro, adicionando uma imagem especial na caixa de mensagem."
"Manual description 1","descrição do manual 1"
"Margin (from right)","Margin (da direita)"
"Margin (from right) for flat-address","Margin (da direita) para o endereço plana"
"Marketplace Order ID","Mercado Order ID"
"Match shipping description :","Corresponde à descrição de envio:"
"Match text:","texto de partida:"
"Max address width (pt)","width endereço de Max (pt)"
"Max dimensions","dimensões máximas"
"Max weight per box","Peso máximo por caixa"
"Max width","largura máxima"
"Messages","mensagens"
"Middle of page","Meio da página"
"Min. weight to hide shipment method and put 'Pallet'","Min. peso para esconder método de envio e colocar 'Pallet'"
"Minimum stock qty","Quant estoque mínimo"
"Moogento","Moogento"
"Moogento pickPack","Moogento pickPack"
"Moogento pickPack : CSV (Order-combined Products)","Moogento pickPack: CSV (produtos Order-combinado)"
"Moogento pickPack : CSV (Order-separated Products)","Moogento pickPack: CSV (Ordem separados Produtos)"
"Moogento pickPack : CSV (Orders)","Moogento pickPack: CSV (Ordens)"
"Moogento pickPack : CSV/XML (Cargo Manifest)","Moogento pickPack: CSV / XML (Manifesto de Carga)"
"Moogento pickPack : PDF (Address Labels)","Moogento pickPack: PDF (Etiquetas de endereço)"
"Moogento pickPack : PDF (CN22 Labels)","Moogento pickPack: PDF (CN22 Labels)"
"Moogento pickPack : PDF (Gift Message)","Moogento pickPack: PDF (Gift Message)"
"Moogento pickPack : PDF (Invoice and Packing Sheet)","Moogento pickPack: PDF (Nota Fiscal e Folha de embalagem)"
"Moogento pickPack : PDF (Invoice)","Moogento pickPack: PDF (Nota Fiscal)"
"Moogento pickPack : PDF (Order-combined Picklist)","Moogento pickPack: PDF (Ordem-combinadas Picklist)"
"Moogento pickPack : PDF (Order-separated Picklist)","Moogento pickPack: PDF (Ordem separados Picklist)"
"Moogento pickPack : PDF (Orders Summary)","Moogento pickPack: PDF (Ordens Resumo)"
"Moogento pickPack : PDF (Packing Sheet)","Moogento pickPack: PDF (Folha de embalagem)"
"Moogento pickPack : PDF (Product-separated Picklist)","Moogento pickPack: PDF (Picklist separados por produto)"
"Moogento pickPack : PDF (Troylleybox Picklist)","Moogento pickPack: PDF (Troylleybox Picklist)"
"Moogento pickPack : PDF (Zebra Labels)","Moogento pickPack: PDF (Etiquetas da zebra)"
"Moogento pickPack : PDF/CSV (Out-of-stock List)","Moogento pickPack: PDF / CSV (Out-of-stock List)"
"Multiplier Attribute","Atributo multiplicador"
"Multiplies product price by set multiplication factor. Eg. use to show product price limit for substitutions in pick","Multiplica preço do produto pelo fator conjunto de multiplicação. Por exemplo. usar para mostrar limite de preço do produto para substituições na seleção"
"Multiplies product price by set multiplication factor.<br />Eg. use to show product price limit for substitutions in pick","Multiplica preço do produto pelo fator conjunto de multiplicação. <br /> Eg. usar para mostrar limite de preço do produto para substituições na seleção"
"Multiply prices by attribute?","Multiplique preços por atributo?"
"Name from Order","Nome da Ordem"
"Name from Product > Default Store","Nome do Produto> Default loja"
"Name from Product > Order Store *Default*","Nome do produto> Ordem loja * Padrão *"
"Name from Product > Specific Store","Nome do produto> Specific loja"
"New page per order?","Nova página por ordem?"
"New PDF per name?","New PDF por nome?"
"No","Não"
"No (default)","Não (padrão)"
"No of Items per page","Nenhum dos itens por página"
"No, include all items in order","Não, incluir todos os itens em ordem"
"No, include it in the product price","Não, incluí-lo no preço do produto"
"No, include it in the product price (but also show a tax subtotal summary)","Não, incluí-lo no preço do produto (mas também mostrar um resumo subtotal impostos)"
"No, move other items to new line (+ keep linebreaks)","Não, mover outros itens para nova linha (+ manter quebras de linha)"
"No, without Tax","Não, sem Imposto"
"None","Nenhum"
"Normal' Dimensions:  269<b style="color:red;">pt</b> x 41<b style="color:red;">pt</b> @ 300dpi<br />","'dimensões normais: 269 <b style = "color: red;"> pt </ b> x 41 <b style = "color: red;"> pt </ b> @ 300dpi <br />"
"Not recommended... Use at your own risk...","Não recomendado ... Use a seu próprio risco ..."
"Nudge","cutucada"
"Nudge 'Packed 2 by' note","Nudge "embalado 2 por" nota"
"Nudge 'Packed by' text","Nudge 'Embalado pelo' text"
"Nudge <b>autoCN22</b> label","Deslocar <b> autoCN22 </ b> etiqueta"
"Nudge 2nd address","Deslocar segundo endereço"
"Nudge 2nd barcode","Deslocar segundo código de barras"
"Nudge 2nd custom title","Deslocar segundo título personalizado"
"Nudge 2nd image","Deslocar segunda imagem"
"Nudge address","endereço Nudge"
"Nudge background image","background image Nudge"
"Nudge barcode","Deslocar código de barras"
"Nudge CN22 label","Deslocar rótulo CN22"
"Nudge company address","endereço da empresa Nudge"
"Nudge details","Deslocar detalhes"
"Nudge entire label","Deslocar etiqueta inteira"
"Nudge fixed image","Deslocar imagem fixa"
"Nudge flat-address","Deslocar-address plana"
"Nudge gift message","mensagem de presente Nudge"
"Nudge image","imagem Nudge"
"Nudge label image","imagem da etiqueta Nudge"
"Nudge logo","logotipo Nudge"
"Nudge Order ID","Deslocar Order ID"
"Nudge Order ID barcode","Deslocar ID do pedido de código de barras"
"Nudge order notes","Deslocar notas de encomenda"
"Nudge product line","linha de produtos Nudge"
"Nudge qr-code (1)","Deslocar qr-code (1)"
"Nudge qr-code (2)","Deslocar qr-code (2)"
"Nudge return address","endereço de retorno Nudge"
"Nudge return label","etiqueta de devolução Nudge"
"Nudge Rotated Product List","Deslocar Lista rodado Produto"
"Nudge shelving","Deslocar estantes"
"Nudge shipping address","Deslocar endereço de entrega"
"Nudge shipping address only","Deslocar única endereço de entrega"
"Nudge supplier attribute","atributo fornecedor Nudge"
"Nudge title","Deslocar título"
"Nudge tracking barcode","Deslocar rastreamento de código de barras"
"Nudge tracking number","Deslocar o número de rastreamento"
"Nudge Zipcode barcode","Deslocar Cep código de barras"
"Nudge' Packed by' note","Nudge 'Embalado pelo' nota"
"Number product list?","Lista de Produtos número?"
"Only print once?","Imprimir apenas uma vez?"
"Only process orders matching shipEasy attribute?","Somente as ordens de processo correspondentes atributo shipEasy?"
"Operand?","Operando?"
"Order Attribute","ordem Atributo"
"Order attribute code","código de atributo da encomenda"
"Order attribute code:","código de atributo de ordem:"
"Order Attribute Value","Valor Atributo fim"
"Order Comments","encomendar Comentários"
"Order custom attribute?","Encomendar atributo personalizado?"
"Order date","Data do pedido"
"Order date X-pos.","Ordem de data X-pos."
"Order Date?","Data do pedido?"
"Order ID (Footer) X-pos.","ID do pedido (rodapé) X-pos."
"Order ID X-pos.","ID do pedido X-pos."
"Order ID?","ID do pedido?"
"Order of subtotals","Ordem de subtotais"
"Order Source","order Fonte"
"Order Source?","Ordem de origem?"
"Order-combined Pick List Options","Opções de lista de seleção combinada de ordem"
"Order-separated Pick List Options","Opções de lista de seleção separada por ordem"
"Orders with In Stock Items Only","Os pedidos com produtos em estoque Só"
"Others?","Outras?"
"Output as PDF or CSV?","Saída como PDF ou CSV?"
"Output Excel XML file (instead of CSV)","Saída do arquivo XML Excel (em vez de CSV)"
"Output Filenames","saída Filenames"
"Output only these suppliers (Hide/Grey-out others)","Saída somente esses fornecedores (Hide / cinza-out outros)"
"Output only this supplier (Hide/Grey-out others) . . . Leave blank to auto-split all suppliers","Saída somente este fornecedor (Hide / cinza-out outros). . . Deixe em branco para auto-split todos os fornecedores"
"Override 'Minimum stock qty'","Override 'Quant estoque mínimo'"
"Override default address formatting?","Substituir formatação endereço padrão?"
"Override default address layout?","Substituir layout de endereço padrão?"
"Override filter notes messages","filtro de substituição observa mensagens"
"Override stock qty output with location-specific stock?","Substituir saída qty estoque com estoque de localização específica?"
"Override' Minimum stock qty'","Override 'Quant estoque mínimo'"
"Packing  Sheet Products : Separating Vertical Line Color","Acondicionamento de produtos Folha: Separação Vertical Color Line"
"Packing Sheet Options","Opções de folha de embalagem"
"Packing Sheet Products : Separating Line Color","Acondicionamento de produtos Folha: Separando Color Line"
"Packing Sheet Products : Separating Vertical Line Color","Acondicionamento de produtos Folha: Separação Vertical Color Line"
"Padding","Preenchimento"
"Page 1 Product-lines cutoff Y-pos","Page 1 Produto linhas interromperam Y-pos"
"Page 1 products cutoff position","Página posição de corte 1 produtos"
"Page Body : Color","Page Body: Cor"
"Page Body : Font","Page Body: Fonte"
"Page Body : Size","Page Body: Tamanho"
"Page Body : Style","Page Body: Estilo"
"Page padding","preenchimento página"
"page padding","A página estofamento"
"Page size","Tamanho da página"
"Page template :","modelo de página:"
"Page title : Color","Título da página: Cor"
"Page title : Font","Título da página: Font"
"Page title : Size","Título da página: Tamanho"
"Page title : Style","Título da página: Estilo"
"Paid Date","Data pagos"
"Paid Date?","Pago Data?"
"Pallet 'go' weight","Palete 'ir' peso"
"Pallet' go' weight","Palete 'ir' peso"
"Paper height","altura do papel"
"Paper margins","as margens do papel"
"Partially: lines top & bottom","Parcialmente: linhas superior e inferior"
"Pattern text","texto padrão"
"Pattern to match :","Padrão ao jogo:"
"Payment","Pagamento"
"Payment method?","Método de pagamento?"
"PDF (Address Labels)","PDF (Etiquetas de endereço)"
"PDF (Address Labels)?","PDF (Etiquetas de endereço)?"
"PDF (CN22 Labels)","PDF (CN22 Labels)"
"PDF (CN22 Labels)?","PDF (Etiquetas CN22)?"
"PDF (Gift Message)","PDF (Gift Message)"
"PDF (Gift Message)?","PDF (Gift Message)?"
"PDF (Invoice & Packing Sheet)","PDF (Invoice & folha de embalagem)"
"PDF (Invoice and Packing Sheet)?","PDF (Nota Fiscal e Folha de embalagem)?"
"PDF (Invoice)","PDF (Nota Fiscal)"
"PDF (Invoice)?","PDF (Invoice)?"
"PDF (Order-combined Picklist)","PDF (Ordem-combinadas Picklist)"
"PDF (Order-combined Picklist)?","PDF (Ordem-combinadas Picklist)?"
"PDF (Order-separated Picklist)","PDF (Ordem separados Picklist)"
"PDF (Order-separated Picklist)?","PDF (Ordem separados Picklist)?"
"PDF (Orders Summary)","PDF (Ordens Resumo)"
"PDF (Orders Summary)?","PDF (Ordens Summary)?"
"PDF (Out-of-stock List)","PDF (Out-of-stock List)"
"PDF (Out-of-stock List)?","PDF (Out-of-stock List)?"
"PDF (Packing Sheet)","PDF (Folha de embalagem)"
"PDF (Packing Sheet)?","PDF (Embalagens Folha)?"
"PDF (Product-separated Picklist)","PDF (Picklist separados por produto)"
"PDF (Product-separated Picklist)?","PDF (Product-separados Picklist)?"
"PDF (Trolleybox Picklist)","PDF (Trolleybox Picklist)"
"PDF (Trolleybox Picklist)?","PDF (Trolleybox Picklist)?"
"PDF (Zebra Labels)","PDF (Etiquetas da zebra)"
"PDF (Zebra Labels)?","PDF (Etiquetas da zebra)?"
"PDF Address-label Sheet","Folha de rótulo Endereço PDF"
"PDF Gift Message","Mensagem presente PDF"
"PDF Invoice","fatura PDF"
"PDF Invoice &amp; Packing Sheet' Sort","PDF Invoice & amp; Embalagem Folha 'Ordenar"
"PDF Letter","Carta PDF"
"PDF Order-combined Picklist","PDF Order-combinado Picklist"
"PDF Order-separated Picklist","PDF Order-separados Picklist"
"PDF Orders Summary","Encomendas PDF Resumo"
"PDF Packing Sheet","Folha de embalagem PDF"
"PDF Packing Sheet + Invoice","Folha de embalagem PDF + Fatura"
"PDF page size","tamanho da página PDF"
"PDF Product-separated Picklist","PDF Picklist separados por produto"
"PDF Zebra Label","Etiqueta da zebra PDF"
"PDF/CSV (Out-of-stock List)","PDF / CSV (Out-of-stock List)"
"PDF/CSV Out-of-stock List","PDF / CSV Out-of-stock Lista"
"PDF/CSV Out-of-stock List Options","PDF / CSV fora-de-estoque Opções da Lista"
"Pick Lists only","Escolher apenas Lists"
"pickPack","pickPack"
"pickPack Validation Key","pickPack Validação Key"
"Pickup Date","captador Data"
"Pickup Store Address","Endereço captador loja"
"Pickup Store Email","Captador loja Email"
"Pickup Store ID","ID captador loja"
"Pickup Store Phone","Telefone captador loja"
"Pickup Time","Tempo de captação"
"Position","Posição"
"Position custom text box","caixa de texto personalizada posição"
"Position of custom attributes","Posição de atributos personalizados"
"Position of notes :","Posição de notas:"
"Position of shelving info","Posição de informação estantes"
"Position the addresses exactly - for integrated labels","Posicione os endereços exatamente - para rótulos integrados"
"Position the message box exactly","Posicionar a caixa de mensagem exatamente"
"Positionable box position","posição da caixa de positionable"
"Pre-cells","Pré-células"
"Price column title","título da coluna Preço"
"Price position","posição Preço"
"Price X-pos.","Preço-X pos."
"Prices","preços"
"Prices converted from","Os preços convertido a partir de"
"Print All?","Imprimir tudo?"
"Print barcode in separate line?","código de barras de impressão em linha separada?"
"Print Condition","Imprimir Estado"
"Print Credit Memos?","Imprimir notas de crédito?"
"Print Invoices?","Faturas de impressão?"
"Print orders once only?","As ordens de impressão apenas uma vez?"
"Print Packingslips?","Imprimir Packingslips?"
"Print products label after address label?","produtos de impressão etiqueta após a etiqueta de endereço?"
"Print resolution","A resolução de impressão"
"Print Shipping Labels?","Imprimir etiquetas de frete?"
"Print supplier attribute?","atributo fornecedor de impressão?"
"Priority of custom attribute grouping","Prioridade do costume atributo de agrupamento"
"Process date?","data processo?"
