"'Allowance' column title",""Облік" в заголовку стовпця"
"Default: "Payment due "","За замовчуванням: "Оплата за рахунок""
"Default: {blank}","За замовчуванням: {} порожньо"
"Default: #DDDDDD","За замовчуванням: #DDDDDD"
"Default: #FFFFFF","За замовчуванням: #FFFFFF"
"Default: 0<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","За замовчуванням: 0 <br /> Наприклад. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21,67; @ -1 = 20"
"Default: 1<br />Eg. Change the display cost to match your actual end costs","За замовчуванням: 1 <br /> Наприклад. Зміна вартості дисплея відповідно до ваших фактичні кінцеві витрати"
"Default: 1<br />Eg. kg -> lb = 2.2046; lb -> kg = 0.4536","За замовчуванням: 1 <br /> Наприклад. кг -> фунт = 2,2046; фунт -> кг = 0,4536"
"Default: 1<br />Eg. your base currency is USD, your manifest display currency is GBP : enter the exchange rate multiplier for USD -> GBP","За замовчуванням: 1 <br /> Наприклад. ваша базова валюта USD, ваш маніфест валюти дисплей GBP: ввести множник обмінного курсу для USD -> GBP"
"Default: 100","За замовчуванням: 100"
"Default: 13pt/5pt (top/bottom), 5pt (left/right)","За замовчуванням: 13pt / 5pt (верх / низ), 5pt (ліва / права)"
"Default: 17","За замовчуванням: 17"
"Default: 185","За замовчуванням: 185"
"Default: 2 [1.1256 becomes 1.13]","За замовчуванням: 2 [1,1256 стає 1.13]"
"Default: 2<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","За замовчуванням: 2 <br /> Наприклад. 21,6700 @ 0 = 22; @ 1 = 21,7; @ 2 = 21,67; @ -1 = 20"
"Default: 200","За замовчуванням: 200"
"Default: 22pt (top/bottom), 30pt (left/right)","За замовчуванням: 22pt (верх / низ), 30pt (ліва / права)"
"Default: 25","За замовчуванням: 25"
"Default: 25 -->","За замовчуванням: 25 ->"
"Default: 25, 25 (can leave one blank)","За замовчуванням: 25, 25 (може залишити один пробіл)"
"Default: 250","За замовчуванням: 250"
"Default: 250, 100. Need to select [Yes] on "Show order gift message" or "Show product gift message".","За замовчуванням: 250, 100. Необхідно вибрати [Так] на "Показати замовлення подарунка повідомлення" або "подарунок повідомлення Показати продукт"."
"Default: 250, 100. Need to select yes on "Show order gift message" or "Show product gift message"","За замовчуванням: 250, 100. Необхідно вибрати та на "Показати замовлення подарунка повідомлення" або "Показати продукт подарунок повідомлення""
"Default: 250x182","За замовчуванням: 250x182"
"Default: 3","За замовчуванням: 3"
"Default: 350","За замовчуванням: 350"
"Default: 380","За замовчуванням: 380"
"Default: 40","За замовчуванням: 40"
"Default: 400","За замовчуванням: 400"
"Default: 420","За замовчуванням: 420"
"Default: 450","За замовчуванням: 450"
"Default: 460","За замовчуванням: 460"
"Default: 475","За замовчуванням: 475"
"Default: 480","За замовчуванням: 480"
"Default: 50","За замовчуванням: 50"
"Default: 500","За замовчуванням: 500"
"Default: 520","За замовчуванням: 520"
"Default: 5pt (top/bottom), 5pt (left/right)","За замовчуванням: 5pt (верх / низ), 5pt (ліва / права)"
"Default: 5pt/5pt (top/bottom), 5pt/5pt (left/right)","За замовчуванням: 5pt / 5pt (верх / низ), 5pt / 5pt (вліво / вправо)"
"Default: 67","За замовчуванням: 67"
"Default: 8","За замовчуванням: 8"
"Default: 80","За замовчуванням: 80"
"Default: backordered","За замовчуванням: Звільнитися"
"Default: Bold","За замовчуванням: Жирний"
"Default: center","За замовчуванням: центр"
"Default: Code128","За замовчуванням: Code128"
"Default: codes","За замовчуванням: коди"
"Default: Empty","За замовчуванням: Пусто"
"Default: Grand Total","За замовчуванням: Grand Total"
"Default: ID","За замовчуванням: ID"
"Default: ID -->","За замовчуванням: ID ->"
"Default: invoice_","За замовчуванням: invoice_"
"Default: invoice+packing-sheet_","За замовчуванням: рахунок-фактура + упаковка-sheet_"
"Default: items","За замовчуванням: пункти"
"Default: Left (if right, turn off barcodes, addresses; if full-width no company","За замовчуванням: зліва (якщо права, вимкніть штрих-коди, адреси, якщо повноширинні жодна компанія"
"Default: M j, Y . Format this according to www.php.net/date","За замовчуванням: M J, Y. Цей формат відповідно до www.php.net/date~~pobj"
"Default: Method B","За замовчуванням: Метод B"
"Default: name","За замовчуванням: ім'я"
"Default: order-combined_","За замовчуванням: замовлення-combined_"
"Default: order-separated_","За замовчуванням: замовлення-separated_"
"Default: out-of-stock-list_","За замовчуванням: поза фондовою list_"
"Default: packing-sheet_","За замовчуванням: упаковка-sheet_"
"Default: Phone","За замовчуванням: Телефон"
"Default: Phone -->","За замовчуванням: Телефон ->"
"Default: product-separated_","За замовчуванням: продукт-separated_"
"Default: pt (top/bottom), pt (left/right)","За замовчуванням: пт (верх / низ), пункту (вліво / вправо)"
"Default: Qty","За замовчуванням: Кількість"
"Default: Qty -->","За замовчуванням: Кількість ->"
"Default: Ship to:","За замовчуванням: Корабель:"
"Default: Shipping","За замовчуванням: Доставка"
"Default: Simple product name","За замовчуванням: Простий назва продукту"
"Default: Source","За замовчуванням: Джерело"
"Default: Subtotal","За замовчуванням: Підсумок"
"Default: tax","За замовчуванням: податок"
"Default: total","За замовчуванням: загальна"
"Default: USD","За замовчуванням: USD"
"Default: VAT Rateable","За замовчуванням: ПДВ співрозмірний"
"Default: warehouse","За замовчуванням: склад"
"Default: Y_m_d . Format this according to www.php.net/date","За замовчуванням: Y_m_d. Цей формат відповідно до www.php.net/date~~pobj"
"Default: Zero-rated","За замовчуванням: Нульова рейтингом"
"Default:7","За замовчуванням: 7"
"Default: No","За замовчуванням: Немає"
"Default: Yes","За замовчуванням: Так"
"Depends on your stock management system","Залежить від вашої системи управління запасами"
"Descending","спадний"
"Detailed CC info?","Детальна інформація CC?"
"Dimensions","розміри"
"Dimensions : 'Label width' x 'Label height' @ 300dpi : non-interlaced and non-transparent .png","Розміри: 'ширина етикетки' X 'Метка висота' @ 300dpi: нечередованний і непрозорий .png"
"Dimensions 180<b style="color:red;">pt</b> x 120<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Розміри 180 <б стиль = "колір: червоний;"> пт </ b> х 120 <б стиль = "колір: червоний;"> пт </ b> @ 300dpi: розгортку <B> і </ b> непрозорий .png"
"Dimensions 540<b style="color:red;">pt</b>(A4)|562<b style="color:red;">pt</b>(US Letter) x 1-200<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","Розміри 540 <б стиль = "колір: червоний;"> пт </ b> (A4) | ​​562 <б стиль = "колір: червоний;"> пт </ b> (US Letter) х 1-200 <B стиль = "колір: червоний;"> пт </ b> @ 300dpi: розгортку <B> і </ b> непрозорий .png"
"Dispatch Date?","Відправка Дата?"
"Don't count these custom option SKUs :","Чи не вважайте ці призначені для користувача опції SKUs:"
"Double-line spacing?","Відстань між подвійною лінією?"
"Double-up this barcode?","Двічі до цього штрих-коду?"
"Drink Flag","пити прапор"
"E: ","Е:"
"Eg. nudge it up off integrated labels","Наприклад. підштовхувати його вгору від інтегрованих міток"
"eg. put 'wholesale', then only wholesale customers will see 'Message B'","наприклад. поставив 'оптові', то тільки оптові клієнти будуть бачити 'повідомлення B'"
"eg. put your country, then only overseas orders will have country added","наприклад. помістити вашу країну, додав тоді тільки закордонні замовлення матимуть країни"
"Eg. shelving info","Наприклад. стелажі Інформація"
"Email: Body","E-mail: Body"
"Email: Send To","Електронна пошта: Відправити"
"Email: Sender","E-mail: Відправник"
"Email: Subject","E-mail: Тема"
"Enable auto processing?","Включити автоматичну обробку?"
"Enter your license key here","Введіть свій ліцензійний ключ тут"
"Exactly position shipping detail (eg. for envelope window)","Точно положення вантажу деталі (наприклад. Для вікна конвертів)"
"Exactly position top address (eg. for envelope window)","Точно розташуйте верхній адресу (наприклад. Для вікна конвертів)"
"Export","експорт"
"Export: Path","Експорт: Шлях"
"Extra attribute position","Позиція Extra атрибут"
"F: ","F:"
"File Path","Шлях до файлу"
"Fill Bars?","Заповніть бари?"
"Fill bkg comments box ?","Заповніть BKG поле для коментарів?"
"Fill columns titlebar?","Заповніть стовпці заголовок вікна?"
"Filter again?","Фільтр знову?"
"Filter by supplier?","Фільтр по виробниках?"
"Filter items again?","Фільтр деталі знову?"
"Filter items by status?","Фільтр елементів по статусу?"
"Filter items?","елементи фільтра?"
"Filter order notes?","зауваження порядок фільтра?"
"Filter out some options?","Фільтр деякі варіанти?"
"Filter out some?","Фільтр деякі?"
"Filter out these attributes","Фільтр з цих атрибутів"
"Filter out these custom option SKUs :","Фільтр ці призначені для користувача опції SKUs:"
"Filter shipped items?","Фільтр занурені деталі?"
"Filter text","текст фільтра"
"Filter text (don't show notes containg this text)","Текст фільтра (Не показувати замітки текст якої знаходиться цей)"
"Filter?","Фільтр?"
"Filter/Split which PDFs?","Фільтр / Split, який PDF-файлів?"
"Filters: Order-separated PDFs, Order-combined PDFs","Фільтри: Замовити розділених PDF-файлів, замовлення комбіновані PDF-файли"
"First Name","Ім'я"
"First order starts at","Перше замовлення починається"
"Fix Subtotals to page base","Fix подитогамі на сторінку бази"
"Flat-address font size","Міні-адреса розмір шрифту"
"Font","шрифт"
"Font size","Розмір шрифту"
"Font size (Product Lines)","Розмір шрифту (Лінії продукції)"
"Font size (Return address)","Розмір шрифту (Зворотна адреса)"
"Font size (Shipping address)","Розмір шрифту (Адреса доставки)"
"For all customer group types","Для всіх типів груп клієнтів"
"For any customer group containing filter word","Для будь-якої групи клієнтів, що містить слова фільтра"
"For configurable products, show:","Для конфігуруються продуктів, показати:"
"For custom minimum stock levels for specific SKUs, set like this:","Для призначених для користувача рівнів мінімального запасу для конкретних артикулів, встановлених таким чином:"
"For full-page sharp backgrounds, upload images with dimensions  595<b style="color:red;">pt</b> x 842<b style="color:red;">pt</b> (A4), or 612<b style="color:red;">pt</b> x 792<b style="color:red;">pt</b> (Letter)","Для отримання повної сторінки гострих фонів, завантажувати зображення з розмірами 595 <B стиль = "колір: червоний;"> пт </ b> х 842 <B стиль = "колір: червоний;"> пт </ b> (A4), або 612 <б стиль = "колір: червоний;"> пт </ b> х 792 <б стиль = "колір: червоний;"> пт </ b> (Лист)"
"For Internal Print Flags use "0" to avoid duplicate printing","Для внутрішніх прапорів друку використовувати "0", щоб уникнути дублювання друку"
"Force gift message font?","подарунок Force повідомлення шрифту?"
"Format product options?","Параметри Формат продукту?"
"Format product?","Формат продукту?"
"FTP host","FTP хост"
"FTP password","FTP пароль"
"FTP port","FTP порт"
"FTP remote path","FTP віддалений шлях"
"FTP user","користувач FTP"
"Full height of each label (default 168pt)","Повна висота кожного ярлика (за умовчанням 168pt)"
"Full height of each label (default 432pt)","Повна висота кожного ярлика (за умовчанням 432pt)"
"Full Page Width","Повна Ширина сторінки"
"Full width of each label (default 190pt)","Повна ширина кожного ярлика (за умовчанням 190pt)"
"Full width of each label (default 288pt)","Повна ширина кожного ярлика (за умовчанням 288pt)"
"Gallery Images (Max 2)","Галерея зображень (Макс 2)"
"General : CSV","Загальні відомості: CSV"
"General : PDF","Загальні відомості: PDF"
"General Options","загальні параметри"
"Germany CN22 Label Image","Німеччина CN22 Етикетка Зображення"
"Gift card","Подарункова картка"
"Gift message","подарунок повідомлення"
"Gift Message : Background Color","Подарунок повідомлення: Колір фону"
"Gift Message : Color","Подарунок Повідомлення: Колір"
"Gift Message : Font","Подарунок повідомлення: Шрифт"
"Gift Message : Size","Подарунок повідомлення: Розмір"
"Gift Message : Style","Подарунок повідомлення: Стиль"
"Gift wrap","Подарункова упаковка"
"Goes at page base - good for integrated labels","Йде на сторінці бази - добре для інтегрованих міток"
"Goes at page base - handy for QC","Йде на сторінці бази - зручно для контролю якості"
"Goes on the right of the header logo","Йде на праворуч від логотипу заголовка"
"Goes on the top-left of the page","Йде на верхньому лівому кутку сторінки"
"Good for 3-part integrated labels, eg. for peel-off address records","Добре для 3-х частин комплексних етикеток, наприклад. для відшаровування адресних записів"
"Good for a footer image","Добре для нижнього колонтитула зображення"
"Good for integrated labels","Добре для інтегрованих міток"
"Good for tax numbers, return instructions","Добре для податкових номерів, інструкції щодо утилізації"
"Good for things like tear-off labels, or adding to the return address abel to make it a 'Returns Label'","Добре підходить для таких речей, як відокремлюються етикетки, або додавання до зворотної адреси Авеля, щоб зробити його "Повернення ярлик""
"Grand Total (from Magento)?","Grand Total (від Magento)?"
"Grey out products from other suppliers","Сірий з продуктів від інших постачальників"
"Group by Category?","Група за категоріями?"
"Group With Other Prints","Група С інших відбитків"
"Header logo","Тема логотип"
"Hide if gift order?","Приховати, якщо замовлення подарунка?"
"Hide prices if a gift order?","Приховати ціни, якщо подарунок замовлення?"
"Hide product option labels?","опція продукт Приховати мітки?"
"Hide products from other suppliers","Приховати товари від інших постачальників"
"Hide Shipping Method for Store-Pickup orders?","Приховати спосіб доставки для Store-Pickup замовлень?"
"Hide supplier attribute column?","Приховати стовпець з постачальником атрибутів?"
"Hide these groups :","Приховати ці групи:"
"Hide this 'country name'","Приховати це "назва країни""
"Hide this 'country name' :","Приховати це "назва країни:"
"Hide this' country name' :","Приховати це "назва країни:"
"Hide Virtual and Downloadable products from PDFs?","Приховати Віртуальні і завантажувані продукти з PDF-файлів?"
"Hide zero discount value?","Приховати нульове значення знижку?"
"Hide zero shipping value?","Приховати нульове значення доставки?"
"Hide zero tax value?","Приховати нульове значення податку?"
"High-res","З високою роздільною здатністю"
"high-res/low-res?","високою роздільною здатністю / низьким дозволом?"
"High/Low Resolution?","Висока / низька дозвіл?"
"Hold?","Утримання?"
"Holland CN22 Label Image","Holland CN22 Ярлик Зображення"
"Horizontal bars : Background Color","Турніки: Колір фону"
"Ie. if you want them listed together and not in separate columns","Тобто .. якщо ви хочете, щоб вони перераховані разом, а не в окремих стовпцях"
"If 'Yes' this won't include items which have been marked as shipped.","Якщо "так", це не буде включати в себе елементи, які були позначені як занурене."
"If child image missing, show parent?","Якщо дитина зображення відсутній, показати батька?"
"If set to Yes, after an order has been printed, you can only re-print it from inside the Order Detail page.<br />The aim is to avoid shipping the same order multiple times by mistake.","Якщо встановлено значення Так, після того, як замовлення було надруковано, ви можете тільки повторно роздрукувати його всередині сторінки Order Detail. <br /> Мета полягає в тому, щоб уникнути вантажити той же порядок кілька разів помилково."
"If supplier 'logged in', do what with other suppliers products?","Якщо постачальник "увійшли в систему", робити те, що з іншими постачальниками продуктів?"
"If you get long addresses that spill over the edge of your label, set this number to force a linebreak","Якщо ви отримуєте довгі адреси, переллється через край етикетки, встановіть цей номер, щоб змусити розрив рядка"
"If you ship a lot of single items, this can help alert your shipping staff that","Якщо ви відправляєте багато окремих елементів, це може допомогти попередити ваших співробітників з транспортування вантажів, що"
"If you ship a lot of single items, this can help alert your shipping staff that there's more than one!","Якщо ви відправляєте багато окремих елементів, це може допомогти попередити ваших співробітників з транспортування вантажів, що є більше ніж один!"
"If you're using shipEasy, and have setup any of the 3 custom flag columns, you can show the value.","Якщо ви використовуєте shipEasy, і є установка будь-який з 3 настроюються колонок прапора, ви можете показати значення."
"Image behind return address?","Зображення за зворотну адресу?"
"Image behind ship address?","Зображення за адреса корабля?"
"Image border color","межа зображення колір"
"Image file","файл зображення"
"Image nudge","зображення підштовхування"
"Image position nudge","Положення зображення підштовхування"
"Images column title","Назва зображення колонка"
"Import","імпорт"
"In positionable box (handy for tear-off labels)","У позиціонується коробці (зручно для відривних етикеток)"
"Incl.","включно"
"Include customer phone in addresses?","Увімкніть телефон клієнта в адресах?"
"Include discount?","Увімкніть знижку?"
"Include discounts in product line price","Включити знижки в ціні лінії продукту"
"Include Order ID in filename for single page print?","Включити ідентифікатор замовлення в імені файлу для однієї сторінки друку?"
"Include Order ID in filename for single page prints?","Включити ідентифікатор замовлення в імені файлу для окремих сторінок друкованих видань?"
"Include order notes?","Включити замітки замовлення?"
"Include shipping country in addresses?","Включити відправка країну в адресах?"
"Include tax in 'Shipping'?","Включити податок в "Доставка"?"
"Include Tax in Price?","Без урахування податку в ціні?"
"Include Tax in Shipping Price?","Включити податок у вартість доставки?"
"Include tax in value?","Включити податок у вартості?"
"Include tax?","Включити податок?"
"Installation Server","установка сервера"
"Invert some of the title colors...","Звернути деякі з назви кольорів ..."
"Invoice Address","Адреса виставлення рахунку"
"Invoice Date","дата рахунку-фактури"
"Invoice ID?","Рахунок-фактура ID?"
"Invoice Number","Номер накладної"
"Invoice Options","Варіанти рахунків-фактур"
"Invoiced Date","фактурна Дата"
"Is this included in the Subtotal?","Чи є це включено в Разом?"
"Italic","курсив"
"Item Count","пункт Count"
"Items column title","Пункти назву колонки"
"Items count?","кол-товари?"
"Label","етикетка"
"Label height","висота етикетки"
"Label margins","поля етикетки"
"Label Nudge","етикетка Зрушити"
"Label padding","етикетка оббивка"
"Label width","ширина етикетки"
"Layout template","макет шаблону"
"License","ліцензія"
"License Key","Ліцензійний ключ"
"Line above fixed footer image?","Лінія вище фіксованого нижнього колонтитула зображення?"
"Line widths","ширина ліній"
"Lock image to page base?","Блокування зображення на сторінки бази?"
"Logo position","Логотип позиції"
"Low-res","З низьким дозволом"
"Magento Order ID","Magento ID замовлення"
"Main Image","Основне зображення"
"Makes gift orders a bit happier-looking by adding a special image on the message box.","Робить подарункові замовлення трохи щасливішими, дивиться, додавши спеціальне зображення в вікні повідомлення."
"Manual description 1","Керівництво Опис 1"
"Margin (from right)","Маржа (праворуч)"
"Margin (from right) for flat-address","Маржа (праворуч) для плоского-адресою"
"Marketplace Order ID","Торгова ID замовлення"
"Match shipping description :","Матч перевезення вантажу Опис:"
"Match text:","Текст матчу:"
"Max address width (pt)","Максимальна ширина адресу (пт)"
"Max dimensions","максимальні розміри"
"Max weight per box","Максимальна вага в упаковці"
"Max width","Максимальна ширина"
"Messages","повідомлення"
"Middle of page","середина сторінки"
"Min. weight to hide shipment method and put 'Pallet'","мінімум вага, щоб приховати метод пересилання і покласти 'Піддон'"
"Minimum stock qty","Мінімальна кількість акцій"
"Moogento","Moogento"
"Moogento pickPack","Moogento pickPack"
"Moogento pickPack : CSV (Order-combined Products)","Moogento pickPack: CSV (Замовити комбіновані продукти)"
"Moogento pickPack : CSV (Order-separated Products)","Moogento pickPack: CSV (Order розділених Products)"
"Moogento pickPack : CSV (Orders)","Moogento pickPack: CSV (Замовлення)"
"Moogento pickPack : CSV/XML (Cargo Manifest)","Moogento pickPack: CSV / XML (вантажний маніфест)"
"Moogento pickPack : PDF (Address Labels)","Moogento pickPack: PDF (Адреса Етикетки)"
"Moogento pickPack : PDF (CN22 Labels)","Moogento pickPack: PDF (CN22 етикетки)"
"Moogento pickPack : PDF (Gift Message)","Moogento pickPack: PDF (Подарункове повідомлення)"
"Moogento pickPack : PDF (Invoice and Packing Sheet)","Moogento pickPack: PDF (рахунок-фактура і пакувальний лист)"
"Moogento pickPack : PDF (Invoice)","Moogento pickPack: PDF (рахунок-фактура)"
"Moogento pickPack : PDF (Order-combined Picklist)","Moogento pickPack: PDF (Order-комбінований Picklist)"
"Moogento pickPack : PDF (Order-separated Picklist)","Moogento pickPack: PDF (Order розділених Picklist)"
"Moogento pickPack : PDF (Orders Summary)","Moogento pickPack: PDF (Замовлення Резюме)"
"Moogento pickPack : PDF (Packing Sheet)","Moogento pickPack: PDF (пакувальний лист)"
"Moogento pickPack : PDF (Product-separated Picklist)","Moogento pickPack: PDF (продукт розділених Picklist)"
"Moogento pickPack : PDF (Troylleybox Picklist)","Moogento pickPack: PDF (Troylleybox Picklist)"
"Moogento pickPack : PDF (Zebra Labels)","Moogento pickPack: PDF (Zebra етикетки)"
"Moogento pickPack : PDF/CSV (Out-of-stock List)","Moogento pickPack: PDF / CSV (Ні в наявності списку)"
"Multiplier Attribute","мультиплікатор Атрибут"
"Multiplies product price by set multiplication factor. Eg. use to show product price limit for substitutions in pick","ціна продукту Множення на коефіцієнт множення набору. Наприклад. використовувати, щоб показати продукт межа ціни для замін в киркою"
"Multiplies product price by set multiplication factor.<br />Eg. use to show product price limit for substitutions in pick","Множення ціна продукту на коефіцієнт множення набору. <br /> Напр. використовувати, щоб показати продукт межа ціни для замін в киркою"
"Multiply prices by attribute?","Множення ціни на атрибут?"
"Name from Order","Ім'я з ордена"
"Name from Product > Default Store","Ім'я з продукту> За замовчуванням магазин"
"Name from Product > Order Store *Default*","Ім'я з продукту> Замовлення магазину * За замовчуванням *"
"Name from Product > Specific Store","Ім'я з продукту> конкретному магазині"
"New page per order?","Нова сторінка в порядку?"
"New PDF per name?","Новий PDF на ім'я?"
"No","Немає"
"No (default)","Немає (за замовчуванням)"
"No of Items per page","Немає елементів на сторінці"
"No, include all items in order","Ні, включають в себе всі елементи в порядку"
"No, include it in the product price","Ні, включити його в ціну товару"
"No, include it in the product price (but also show a tax subtotal summary)","Ні, включити його в ціну продукту (але також показують резюме податкового субтотальную)"
"No, move other items to new line (+ keep linebreaks)","Ні, перемістити інші елементи на новий рядок (+ зберегти переноси рядків)"
"No, without Tax","Ні, без податку"
"None","жоден"
"Normal' Dimensions:  269<b style="color:red;">pt</b> x 41<b style="color:red;">pt</b> @ 300dpi<br />","Нормальні 'Розміри: 269 <б стиль = "Колір: червоний;"> пт </ b> 41 х <б стиль = "колір: червоний;"> PT </ B> @ 300dpi <br />"
"Not recommended... Use at your own risk...","Не рекомендується ... Використовуйте на свій страх і ризик ..."
"Nudge","злегка підштовхувати ліктем"
"Nudge 'Packed 2 by' note","Зрушити 'Упаковані 2' по ноті"
"Nudge 'Packed by' text","Зрушити 'упакований' текст"
"Nudge <b>autoCN22</b> label","Зрушити <B> autoCN22 </ b> ярлик"
"Nudge 2nd address","Зрушити 2-й адреса"
"Nudge 2nd barcode","Зрушити 2-й штрих-коду"
"Nudge 2nd custom title","Зрушити 2-е призначене для користувача назва"
"Nudge 2nd image","Зрушити 2-е зображення"
"Nudge address","зрушити адреса"
"Nudge background image","Зрушити фонове зображення"
"Nudge barcode","Зрушити штрих-коду"
"Nudge CN22 label","Зрушити ярлик CN22"
"Nudge company address","Зрушити адреса компанії"
"Nudge details","зрушити деталі"
"Nudge entire label","Зрушити весь ярлик"
"Nudge fixed image","Зрушити нерухомого зображення"
"Nudge flat-address","Зрушити плоский-адреса"
"Nudge gift message","Зрушити подарунок повідомлення"
"Nudge image","зрушити зображення"
"Nudge label image","Зрушити етикетки зображення"
"Nudge logo","зрушити логотип"
"Nudge Order ID","Зрушити ID замовлення"
"Nudge Order ID barcode","Зрушити ID замовлення штрих-коду"
"Nudge order notes","Зрушити примітки замовлення"
"Nudge product line","Зрушити лінійка продуктів"
"Nudge qr-code (1)","Зрушити QR-код (1)"
"Nudge qr-code (2)","Зрушити QR-код (2)"
"Nudge return address","Зрушити зворотну адресу"
"Nudge return label","Зрушити повернення етикетки"
"Nudge Rotated Product List","Зрушити Список продуктів повернутого"
"Nudge shelving","зрушити стелажі"
"Nudge shipping address","Зрушити адресу доставки"
"Nudge shipping address only","Зрушити адресу доставки тільки"
"Nudge supplier attribute","Зрушити атрибут постачальника"
"Nudge title","зрушити назву"
"Nudge tracking barcode","Зрушити відстеження штрих-коду"
"Nudge tracking number","Зрушити ідентифікаційний номер"
"Nudge Zipcode barcode","Зрушити ZipCode штрих-код"
"Nudge' Packed by' note","Зрушити 'упакований' ноти"
"Number product list?","Список номер продукту?"
"Only print once?","Тільки друк один раз?"
"Only process orders matching shipEasy attribute?","Тільки обробляти замовлення, відповідні атрибут shipEasy?"
"Operand?","Операнд?"
"Order Attribute","Замовити Атрибут"
"Order attribute code","Код атрибута замовлення"
"Order attribute code:","Код атрибута для замовлення:"
"Order Attribute Value","Замовлення значення атрибута"
"Order Comments","Замовити Коментарі"
"Order custom attribute?","Замовити користувальницький атрибут?"
"Order date","Дата замовлення"
"Order date X-pos.","Дата замовлення X-поз."
"Order Date?","Дата замовлення?"
"Order ID (Footer) X-pos.","ID замовлення (Footer) X-поз."
"Order ID X-pos.","Ідентифікатор замовлення X-поз."
"Order ID?","Ідентифікатор замовлення?"
"Order of subtotals","порядок подитогамі"
"Order Source","Замовити Джерело"
"Order Source?","Замовити Джерело?"
"Order-combined Pick List Options","Замовити комбіновані варіанти списку вибору"
"Order-separated Pick List Options","Замовити розділених Параметри списку вибору"
"Orders with In Stock Items Only","Замовлення з на складі"
"Others?","Інші?"
"Output as PDF or CSV?","Висновок у форматі PDF або CSV?"
"Output Excel XML file (instead of CSV)","Висновок Excel XML-файл (замість CSV)"
"Output Filenames","Висновок імен файлів"
"Output only these suppliers (Hide/Grey-out others)","Вихід тільки ці постачальники (Приховати / Сірий з інших)"
"Output only this supplier (Hide/Grey-out others) . . . Leave blank to auto-split all suppliers","Вихід тільки цей постачальник (Приховати / Grey-аут інші). , , Залиште порожнім для автоматичного поділу всіх постачальників"
"Override 'Minimum stock qty'","Override 'Мінімальна кількість акцій'"
"Override default address formatting?","Override форматування адреси за замовчуванням?"
"Override default address layout?","Перекрити за замовчуванням розташування адрес?"
"Override filter notes messages","Override фільтр відзначає повідомлення"
"Override stock qty output with location-specific stock?","Override запасу вихід з Кількість розташування конкретних акцій?"
"Override' Minimum stock qty'","Override 'Мінімальна кількість акцій'"
"Packing  Sheet Products : Separating Vertical Line Color","Упаковка листової продукції: Роздільна вертикальна лінія Колір"
"Packing Sheet Options","Варіанти упаковки листового металу"
"Packing Sheet Products : Separating Line Color","Упаковка листової продукції: розділова лінія Колір"
"Packing Sheet Products : Separating Vertical Line Color","Упаковка листової продукції: Роздільна вертикальна лінія Колір"
"Padding","набивка"
"Page 1 Product-lines cutoff Y-pos","Page 1 Продукт-лінії відсічення Y-Pos"
"Page 1 products cutoff position","Page 1 продукти позиції зрізу"
"Page Body : Color","Сторінка Кузов: Колір"
"Page Body : Font","Сторінка Body: шрифт"
"Page Body : Size","Сторінка Body: Розмір"
"Page Body : Style","Сторінка Кузов: Стиль"
"Page padding","оббивка Page"
"page padding","сторінка оббивка"
"Page size","розмір сторінки"
"Page template :","Шаблон сторінки:"
"Page title : Color","Заголовок сторінки: Колір"
"Page title : Font","Заголовок сторінки: Шрифт"
"Page title : Size","Заголовок сторінки: Розмір"
"Page title : Style","Заголовок сторінки: Стиль"
"Paid Date","платна Дата"
"Paid Date?","Платна Дата?"
"Pallet 'go' weight","Піддон 'йти' вага"
"Pallet' go' weight","Піддон 'йти' вага"
"Paper height","висота паперу"
"Paper margins","поля паперу"
"Partially: lines top & bottom","Частково: лінії від низу до верху і"
"Pattern text","шаблон тексту"
"Pattern to match :","Шаблон для відповідності:"
"Payment","оплата"
"Payment method?","Спосіб оплати?"
"PDF (Address Labels)","PDF (Адреса Етикетки)"
"PDF (Address Labels)?","PDF (адреса етикетки)?"
"PDF (CN22 Labels)","PDF (CN22 етикетки)"
"PDF (CN22 Labels)?","PDF (CN22 етикетки)?"
"PDF (Gift Message)","PDF (Подарункове повідомлення)"
"PDF (Gift Message)?","PDF (Подарункове повідомлення)?"
"PDF (Invoice & Packing Sheet)","PDF (рахунок-фактура і пакувальний лист)"
"PDF (Invoice and Packing Sheet)?","PDF (рахунок-фактура і пакувальний лист)?"
"PDF (Invoice)","PDF (рахунок-фактура)"
"PDF (Invoice)?","PDF (рахунок-фактура)?"
"PDF (Order-combined Picklist)","PDF (Order-комбінований Picklist)"
"PDF (Order-combined Picklist)?","PDF (Order-комбінований Picklist)?"
"PDF (Order-separated Picklist)","PDF (Order розділених Picklist)"
"PDF (Order-separated Picklist)?","PDF (Order розділених Picklist)?"
"PDF (Orders Summary)","PDF (Замовлення Резюме)"
"PDF (Orders Summary)?","PDF (Замовлення Резюме)?"
"PDF (Out-of-stock List)","PDF (відсутній Список)"
"PDF (Out-of-stock List)?","PDF (відсутній список)?"
"PDF (Packing Sheet)","PDF (пакувальний лист)"
"PDF (Packing Sheet)?","PDF (пакувальний лист)?"
